"School","Administrator:","District:","Address:","City ST","Zip:","Phone:","E-Mail","Fax:","Web URL:"
"Academy Charter School","Yvette Brown","DOUGLAS COUNTY RE1","1551 Prairie Hawk Dr.","Castle Rock, CO","80109","303-660-4881","browny@academycharter.org","303-660-6385","http://www.academycharter.org"
"Academy for Advanced & Creative Learning AACL","Nikki Myers","COLORADO SPRINGS 11","2510 N. Chestnut Street","Colorado Springs CO","80904","719-434-6566","nikkimyers@academyacl.org","719-434-9696","http://www.academyacl.org"
"Academy of Urban Learning","David Brown","DENVER COUNTY 1","835 E 18th Av","Denver, CO","80218","303-282-0900","davidb@auldenver.org","303-282-0902","http://www.auldenver.org"
"Academy, The","Mark Langston","NORTHGLENN-THORNTON 12","11800 Lowell Blvd.","Westminster CO","80031","303-289-8088","mark.l.langston@adams12.org","303-289-8087","http://www.theacademyk12.org"
"ACE Community Challenge Charter School","Eloy Chavez","DENVER COUNTY 1","948 Santa Fe Drive","Denver, CO","80204","303-436-9588","eloy_chavez@dpsk12.org","303-436-0919","http://www.cde.state.co.us/scripts"
"Alta Vista Charter School","Talara Coen","LAMAR RE2","8785 Road LL","Lamar, CO","81052","719-336-2154","talara.coen@lamar.k12.co.us","719-336-0170","http://www.lamar.k12.co.us"
"American Academy","Erin Kane","DOUGLAS COUNTY RE1","6971 Mira Vista Lane","North, CO","80108","720-292-5200","ekane@americanacademyk8.org","720-733-2641","http://www.americanacademyk8.org"
"Animas High School","Michael Ackerman","CHARTER SCHOOLS INSTITUTE","3206 Main Avenue","Durango, CO","81301","970-247-2474","michael@animashighschool.com",,"http://www.animashighschool.org"
"Aspen Community Charter School","Jim Gilchrist","ASPEN 1","1199 Woody Creek Road","Woody Creek, CO","81656","970-923-4080","jimg@discovercompass.org","970-923-7380","http://www.discovercompass.org"
"Aspen Ridge Preparatory School","Andria Hinman","ST VRAIN VALLEY RE1J","705 Austin Avenue","Erie, CO","80516","970.631.4316","ahinman@aspenridgeprepschool.org","720.294.0573","http://www.aspenridgeprepschool.org"
"Atlas Preparatory School","Zachary McComsey ","HARRISON 2","1602 South Murray Blvd.","Colorado Springs CO","80916","719-358-7196","zmccomsey@atlasprep.org",,"http://www.atlasprep.org"
"Aurora Academy Charter School","Stephen Garretson","ADAMS-ARAPAHOE 28J","10251 E. 1st Avenue","Aurora CO","80010","303-367-5983","sgarretson@aacademy.org","303-367-5820","http://www.aacademy.org"
"AXL Academy","Audra M. Philippon","ADAMS-ARAPAHOE 28J","14100 E. Jewell Avenue","Aurora CO","80012","303-377-0758","audra@axlacademy.org","303-597-1547","http://www.axlacademy.org"
