"District","School Code","School Name","Principal","Address","City","State","Zip","Phone","Fax","Email","Grade Levels","Total Students"
"ALACHUA","1011","ALACHUA LEARNING CENTER , INC. MIDDLE","JAYA KASEDER","11100 W SR 235","ALACHUA","FL","32615","(386) 418-2080","(386) 418-4116","jkaseder@gmail.com","6-8 ","58"
"ALACHUA","957","ALACHUA LEARNING CENTER, INC. ELEMENTARY","TOM ALLIN","11100 SR 235","Alachua","FL","32615","(386) 418-2080","(386) 418-4116","admin@alachualearningcenter.com","K-5 ","112"
"ALACHUA","953","CARING & SHARING LEARNING SCHOOL","CURTIS PETERSON","1951 SE 4th Street","Gainesville","FL","32627","(352) 372-1004","(352) 372-0894","petersonc@gm.sbac.edu","K-5 ","176"
"ALACHUA","955","EINSTEIN MONTESSORI SCHOOL","CHRISTINE AURELIO","5910 SW ARCHER RD","GAINESVILLE","FL","32608-4702","(352) 335-4321","(352) 335-1575",,"2-8 ","106"
"ALACHUA","956","EXPRESSIONS LEARNING ARTS ACADEMY","CHERYL VALANTIS","5408 SW 13 ST","GAINESVILLE","FL","32608-5038","(352) 373-5223","(352) 373-6327","express@tlc2000.net","K-5 ","88"
"ALACHUA","958","GENESIS PREPARATORY SCHOOL","CHARMAINE HENRY","207 NW 23RD AVE","GAINESVILLE","FL","32609-3604","(352) 379-1188","(352) 379-1142",,"K-3 ","67"
"ALACHUA","981","HEALTHY LEARNING ACADEMY CHARTER SCHOOL","ANNIE EGAN","2101 NW 39 AVENUE","GAINESVILLE","FL","32605-2303","(352) 372-2279",,"buskirk@healthylearningacademy.com","K-2 ","70"
"ALACHUA","971","HOGGETOWNE MIDDLE SCHOOL","GASPAR NICHOLS","3930 NE 15 ST","GAINESVILLE","FL","32609-2007","(352) 367-4369","(352) 335-4775","gaspar@hoggetowne.org","6-8 ","112"
"ALACHUA","951","MICANOPY AREA COOPERATIVE SCHOOL, INC.","ANNE THOMSON","802 NW Seminary Street","Micanopy","FL","32667","(352) 466-0990","(352) 466-4090",,"K-5 ","124"
"ALACHUA","961","MICANOPY MIDDLE SCHOOL, INC.","BOBBY JOHNSON","P O Box 109","Micanopy","FL","32667","(352) 466-1090","(352) 466-1030",,"6-8 ","64"
"ALACHUA","1003","MYCROSCHOOL GAINESVILLE","RANDY STARLING","2209 NW 13TH ST","GAINESVILLE","FL","32609","(352) 379-2902","(352) 379-2856","Randy Starling@siatech.org","9-12 ","264"
"ALACHUA","1010","ONE ROOM MIDDLE SCHOOL","BRETT BECKETT","4180 NE 15TH ST","GAINESVILLE","FL","32609","(352) 376-4014","(352) 376-3345","beckettb@gm.sbac.edu","6-8 ","19"
"ALACHUA","991","SIATECH GAINESVILLE","VICTORIA COLLINS","5301 NE 40TH TERRACE","GAINESVILLE","FL","32605","(352) 371-4424","(352) 371-4426",,"9-12 ","216"
"ALACHUA","1001","SWEETWATER BRANCH ACADEMY","UGUR BASLANTI","1000 NE 16th Avenue","Gainesville","FL","32601","(352) 375-8838","(888) 241-5125","info@swbacademy.org","6-8 ","120"
"ALACHUA","1002","SWEETWATER BRANCH ACADEMY ELEMENTARY SCHOOL","FETHI GOKTEPE","1000 NE 16 AVE","GAINESVILLE","FL","32601-4541","(352) 375-8838","(888) 241-5125","fgoktepe@swbacademy.org","K-5 ","169"
"ALACHUA","950","THE ONE ROOM SCHOOL HOUSE PROJECT","BRETT BECKETT","4180 NE 15TH ST","GAINESVILLE","FL","32609-2011","(352) 376-4014","(352) 376-3345",,"K-5 ","142"
"BAY","701","BAY HAVEN CHARTER ACADEMY","LARRY BOLINGER","2501 HAWKS LANDING BLVD","PANAMA CITY","FL","32405-6658","(850) 248-3500","(850) 913-3467","bolinlr@bay.k12.fl.us","K-5 ","603"
"BAY","711","BAY HAVEN CHARTER MIDDLE SCHOOL","LARRY BOLINGER","2501 HAWKS LANDING BLVD","PANAMA CITY","FL","32405-6658","(850) 248-3500","(850) 913-3467",,"6-8 ","449"
"BAY","781","CHAUTAUQUA CHARTER SCHOOL","CYNTHIA MCCAULEY","1118 Magnolia Avenue","Panama City","FL","32401","(850) 785-5056","(850) 785-5071","mccauca@bay.k12.fl.us","9-ADULT ","43"
"BAY","771","NEWPOINT BAY CHARTER HIGH SCHOOL","JOHN GRAHAM","1515 June Avenue","Panama City","FL","32405","(850) 215-0770","(866) 542-0777","grahajp@bay.k12.fl.us","9-12 ","154"
"BAY","791","NEWPOINT MIDDLE SCHOOL","JENNIFER ST. GERMAINE","700 W 23RD ST SUITE H","PANAMA CITY","FL","32405-3728","(850) 215-0770","(866) 542-0770","stgerjj@bay.k12.fl.us","6-8 ","239"
"BAY","741","NORTH BAY HAVEN CAREER ACADEMY","MEREDITH HIGGINS","1104 BALBOA AVE","PANAMA CITY","FL","32401-2017","(850) 248-0205","(850) 248-3514","higgiml@bay.k12.fl.us","9-12 ","254"
"BAY","751","NORTH BAY HAVEN CHARTER ACADEMY ELEMENTARY SCHOOL","MEREDITH HIGGINS","1104 BALBOA AVE","PANAMA CITY","FL","32401-2017","(850) 248-0205","(850) 248-3514","higgiml@bay.k12.fl.us","K-5 ","421"
"BAY","731","NORTH BAY HAVEN CHARTER ACADEMY MIDDLE SCHOOL","MEREDITH HIGGINS","1104 BALBOA AVE","PANAMA CITY","FL","32401-2017","(850) 248-0205","(850) 248-3514","higgiml@bay.k12.fl.us","6-8 ","326"
"BREVARD","6506","CAMPUS CHARTER SCHOOL","TRISHA LEITEM","3805 CURTIS BOULEVARD","PORT ST. JOHN","FL","32927-3942","(321) 633-8234","(321) 633-8234","Leitem.Trisha@Brevardschools.org","K-6 ","138"
"BREVARD","6511","EDUCATIONAL HORIZONS CHARTER","AILEEN TAPP","1281 S. Wickham Rd.","West Melbourne","FL","32904","(321) 729-0786","(321) 729-8403","tappa@brevard.k12.fl.us","K-6 ","100"
"BREVARD","6515","IMAGINE SCHOOLS AT WEST MELBOURNE","SHANNON GERBI","3355 Imagine Way","West Melbourne","FL","32904","(321) 768-6200","(321) 768-6300","gerbi.shannon@brevardschools.org","K-8 ","410"
"BREVARD","6507","ODYSSEY CHARTER SCHOOL","WENDI NOLDER","1755 ELDRON BLVD SE","PALM BAY","FL","32909-6832","(321) 733-0442","(321) 733-1178","Nolder.Wendi@Brevardschools.org","K-8 ","657"
"BREVARD","6501","PALM BAY ACADEMY CHARTER SCHOOL","MADHU LONGANI","2112 PALM BAY ROAD NE","PALM BAY","FL","32905-3950","(321) 984-2710","(321) 984-0799","Longani.Madhu@Brevardschools.org","K-8 ","587"
