"ID","County","School ID","Chools Name","Type","Grades","Address","City","State","Zip","MAIL_ADDRESS","MAIL_CITY","MAIL_ZIP","Principals Name","Last Name","Principals Email","Phone","Fax"
"625","Chatham County","0109","Coastal Empire Montessori Charter School","E","PK-03","301 Burkhalter Rd","Savannah","GA","31405-6111","301 Burkhalter Rd","Savannah","31405-6111","Christina","Placek","tina.cemco@gmail.com","912.238.1973",
"625","Chatham County","0400","Oglethorpe Charter School","M","06-08","707 Stiles Ave ","Savannah","GA","31415-5324","707 Stiles Ave ","Savannah","31415-5324","Kevin","Wall","kevin.wall@savannah.chatham.k12.ga.us","912.395.5075","912.201.5077"
"631","Clayton County","0307","Unidos Dual Language Charter School","E","PK-06","4475 Hendrix Dr ","Forest Park","GA","30297-1244","4475 Hendrix Dr ","Forest Park","30297-1244","Nancy","Said","nsaid@clayton.k12.ga.us","404.361.3494",
"633","Cobb County","0304","Kennesaw Charter School","E","KK-06","1370 Lockhart Dr NW ","Kennesaw","GA","30144-7047","1370 Lockhart Dr NW ","Kennesaw","30144-7047","Kay","Frey","Kay.Frey@imageschools.com","678.290.9628","678.290.9638"
"644","DeKalb County","0705","DeKalb PATH Academy Charter School","M","05-08","3007 Hermance Dr NE ","Atlanta","GA","30319-2627","3007 Hermace Drive ","Atlanta","30319","Suttiwan","Cox","SUTTIWAN_COX@fc.dekalb.k12.ga.us","404.846.3242","404.846.3243"
"644","DeKalb County","1010","DeKalb Academy of Technology and the Environment Charter School","E","KK-08","1492 Kelton Dr","Stone Mountain","GA","30083-1918","1492 Kelton Dr","Stone Mountain","30083-1918","Maury","Wills","mlw4947@fc.dekalb.k12.ga.us","770.484.5865",
"644","DeKalb County","5052","Chamblee Charter High School","H","09-12","3688 Chamblee Dunwoody Rd ","Chamblee","GA","30341-2143","3688 Chamblee Dunwoody Rd ","Chamblee","30341-2143","Rochelle","Lowery","rochelle_lowery@fc.dekalb.k12.ga.us","678.676.6902","678.676.6910"
"647","Dougherty County","5056","International Studies Elementary Charter School","E","KK-05","2237 Cutts Dr ","Albany","GA","31705-3810","2237 Cutts Dr ","Albany","31705-3810","Zeda","George","WMallard@dougherty.k12.ga.us","229.431.3384","229.431.3381"
"660","Fulton County","0115","Fulton Sunshine Charter Elementary","E","KK-05","1335 Northmeadow Pkwy Ste 100","Roswell","GA","30076-4949","1335 Northmeadow Parkway, Suite 100","Roswell","30076","Murat","Cetin",,"770.410.1500",
"660","Fulton County","0116","Main Street Charter Academy Elementary","E","KK-05","3726 Main St","Atlanta","GA","30337-3708","3726 Main St","Atlanta","30337-3708","Raine","Hackler",,"404.668.0261",
"660","Fulton County","0117","Main Street Charter Academy Middle","M","06-07","3480 Main St","Atlanta","GA","30337-2064","3480 Main St","Atlanta","30337-2064","Raine","Hackler",,"404.668.0261",
"660","Fulton County","0118","Hapeville Charter Career Academy","H","09-11","6045 Buffington Rd","Atlanta","GA","30349-3602","6045 Buffington Rd","Atlanta","30349-3602","Jannard","Rainey","jrainey@hapevillecharter.org","404.766.0101",
"660","Fulton County","0286","Ridgeview Charter School","M","06-08","5340 Trimble Rd NE ","Atlanta","GA","30342-1413","5340 Trimble Rd NE ","Atlanta","30342-1413","Lisa","Hastey","hastey@fultonschools.org","404.843.7710","404.943.0675"
"660","Fulton County","0605","Hapeville Charter Middle School","M","06-08","3510 Atlanta Ave","Hapeville","GA","30354-1704","3510 Atlanta Ave","Hapeville","30354-1704","Marcia","Lowe","mlowe@hapevillecharter.org","404.767.7730","678.576.0342"
"660","Fulton County","3066","Riverwood International Charter School","H","09-12","5900 Heards Dr NW","Atlanta","GA","30328-4713","5900 Heards Dr NW","Atlanta","30328-4713","Edward","Echols","echols@fultonschools.org","404.847.1980","404.255.8709"
"666","Greene County","0109","LAKE OCONEE CHARTER","E","PK-06","5800 Lake Oconee Pkwy ","Greensboro","GA","30642-3796","PMB 150 6326 Lake Oconee Parkway ","Greensboro","30642","Otho","Tucker","otucker@lakeoconeeacademy.org","706.454.1562",
"701","Mitchell County","0105","Baconton Community Charter School","K12","PK-12","260 E Walton St","Baconton","GA","31716-7706","260 E Walton St","Baconton","31716-7706","Lynn","Pinson","lhpinson@yahoo.com","229.787.9999","229.787.0077"
