"School Name","Principal Name","Phone","Fax","Email","Web","Street","City","State ","ZIP"
"Connections","John Thatcher","(808) 961-3664","(808) 961-2665","john_thatcher@hawaii.rr.com","http://www.connectionscharterschool.org/","174 Kamehameha Ave","Hilo","HI","96720"
"Education Laboratory","Keoni Jeremiah","(808) 956-7833","(808) 956-7260","keoni_jeremiah@universitylaboratoryschool.org","http://www.hawaii.edu/crdg/labschool/","1776 University Ave., UHS Bldg. 3, Room 121","Honolulu","HI","96822"
"Hakipu'u Learning Center","Charlene Hoe","(808) 235-9155","(808) 235-9160","chhoe_hlc@yahoo.com",,"45-720 Kea'ahala Rd.","Kaneohe","HI","96744"
"Halau Ku Mana","Mahina Duarte","(808) 945-1600","(808) 945-1604","mahina@halaukumana.org","http://www.halaukumana.org/","2101 Makiki Heights Dr.","Honolulu","HI","96822"
"Halau Lokahi","Laara Allbrett","(808) 832-3594","(808) 842-9800","laara@halaulokahi.com","http://www.halaulokahi.com/","401 Waiakamilo Rd., Unit 1A","Honolulu","HI","96817"
"Hawaii Academy of Arts & Science","Steve Hirakami","(808) 965-3730","(808) 965-3733","steve_hirakami@notes.k12.hi.us","http://www.haaspcs.org/","15-1397 Homestead Rd.","Pahoa","HI","96778"
"Hawaii Technology Academy","Todd Thorpe","(808) 676-5444","(808) 676-5470","tthorpe@myhta.org","http://www.k12.com/hta/","94-810 Moloalo St.","Waipahu","HI","96797"
"Innovations","Jennifer Hiro","(808) 327-6205","(808) 327-6209","jennifer_hiro@notes.k12.hi.us","http://www.ipcs.info/","75-5815 Queen Ka'ahuanu Hwy.","Kailua-Kona","HI","96740"
"Ka 'Umeke Ka'eo","Huihui Kanahele-Mossman","(808) 933-3482","(808) 933-3488","huihui@kaumeke.org","http://www.kaumeke.org/","222 Desha Ave.","Hilo","HI","96720"
"Ka Waihona o ka Na'auao","Alvin ""Na'awao"" Parker","(808) 620-9030","(808) 620-9036","principal@kawaihonapcs.org","http://www.kawaihonapcs.org/","89-195 Farrington Hwy.","Waianae","HI","96792"
"Kamaile Academy","Kamaile Academy","(808) 697-7110","(808) 697-7115","eweiss@kamaile.org","http://power2.k12.hi.us/index.cfm?siteID=141","85-180 Ala Akau St.","Waianae","HI","96792"
"Kanu o ka 'Aina","Allyson Tamura/Pat Bergin","(808) 887-8144","(808) 887-8146","allyson@kalo.org; pat@kalo.org","http://kanu.kalo.org/","65-1170 Opelo Rd.","Kamuela","HI","96743"
"Kanuikapono","Ku'uipo Torio","(808) 822-9032","(808) 482-3055","ipotorio@yahoo.com","http://www.kanuikapono.org/","4333 Kukuihale Road","Anahola","HI","96703"
"Kawaikini","Kaleimakamae Ka'auwai","(808) 632-2032","(808) 246-4835","kuliapk@hotmail.com","http://www.kawaikini.com","P.O. Box 662014","Lihue","HI","96766"
"Ke Ana La'ahana","Russell Ili","(808) 961-6228","(808) 961-6229","rili@kalpcs.com","http://www.edithkanakaolefoundation.org/ke_ana/ke_ana_index.htm","1500 Kalanianaole Ave.","Hilo","HI","96720"
