"Corp #","Schl #","Grades Year 1","School Name","Mailing Address","City","State","Zip","Contact Name","Contact Email","Telephone ","Fax "
"9300","1534","9-12","Campagna Academy Charter School ","7403 Cline Ave                ","Schererville        ","IN","46375-2645","Dawn Greene","dgreene@caphope.org","(219) 322-8614","(219) 322-8436 "
"9315","8295","9-12","Signature School Inc              ","610 Main St                   ","Evansville          ","IN","47708-1417","Vicki Snyder                   ","vicki.snyder@signature.edu","8124211820","8124219189"
"9320","1536","PreK-12","Community Montessori              ","4102 St. Joseph Road","New Albany","IN","47150","Barbara Burke-Fondren    ","bfondren@shiningminds.com","8129481000","8129480441"
"9325","2524","9-12","Options Charter School            ","530 West Carmel Dr               ","Carmel              ","IN","46032","Barb Maschino","bmaschino@optionsined.org","3178122098","3178463806"
"9330","1537","K-12","Irvington Community School        ","6705 East Julian Ave             ","Indianapolis        ","IN","46219","David Nidiffer","dnidiffer@ics-charter.org","(317) 357-5359","(317) 357-9752"
"9340","1538","K-8","New Community School              ","710 North Street","Lafayette","IN","47901","Eileen Steele","ehsteele@ncs.k12.in.us","7654209617","7654209672"
"9350","1539","K-8","Timothy L Johnson Academy         ","7908 South Anthony Blvd           ","Fort Wayne          ","IN","46816","Dr. Steve Bollier                  ","steve.bollier@leonagroup.com","2604418727","2604419357"
"9360","1540","K-8","Veritas Academy                   ","530 East Ireland Road","South Bend          ","IN","46614","Germaine Smith","gsmith@veritasacademy.us","5742873230","5742872643"
"9370","5870","K-12","Fall Creek Academy","2540 N. Capital Ave Suite 100  ","Indianapolis        ","IN","46208","Rick Hunt","rhunt@geoacademies.org","3175361027","3179219453"
"9380","5874","K-10","Christel House Academy            ","2717 South East Street                ","Indianapolis        ","IN","46225","Carey Dahncke","cdahncke@chacademy.org","3177834690","3177834693"
"9390","5872","K-6","Flanner House Elementary School   ","2424 Dr Martin Luther King Jr St","Indianapolis        ","IN","46208","Latika Warthaw","lwarthaw@flannerhouse.com","3179254231","3179239632"
"9310","1535","K-9","Charter School of the Dunes       ","860 North Lake St                 ","Gary                ","IN","46403","Christine Pepa","cpepa@csodt.org","2199399690","2199399031"
"9400","5860","5-8","KIPP Indianapolis College Preparatory   ","1740 East 30th Street","Indianapolis        ","IN","46218","Emily Pelino","epelino@kippindy.org","3176379780","3176379784"
"9460","4022","K-12","Thea Bowman Leadership Academy    ","975 West 6th Ave                 ","Gary                ","IN","46402","Gwendolyn Griffith-Adell","gadell@aqs.org","2198834826","2198831331"
"9615","5488","K-8","Andrew J Brown Academy            ","3600 N. German Church Rd       ","Indianapolis        ","IN","46235","Thelma Wyatt                  ","49.twyatt@heritageacademies.org","3178910730","3178910908"
"9445","6208","6-12","Charles A Tindley Accelerated School","3960 Meadows Drive          ","Indianapolis        ","IN","46205","Marcus Robinson               ","robinson@tindleyschool.org","3175451745","3175744415"
"9465","7951","K-8","Rural Community Academy           ","PO Box 85                     ","Graysville          ","IN","47852","Susie Pierce","susiep@rcsi.k12.in.us","8123824500","8123824055"
"9485","5868","K-6","Southeast Neighborhood School of Excellence (SENSE) ","1601 South Barth Ave              ","Indianapolis        ","IN","46203","Susan Smith","ssmith@senseindy.org","3174230204","3176314401"
"9670","5664","9-12","Indianapolis Metropolitan High School","1635 W Michigan St            ","Indianapolis        ","IN","46222","Scott Bess                     ","sbess@goodwill-indy.org","3175244501","3175244002"
"9480","5864","6-9","Fountain Square Academy","1601 South Barth Avenue","Indianapolis        ","IN","46225","Dr. Percy Clark","percy.clark@geofoundation.org","317-536-1028","(317) 524-3773"
"9495","8203","K-6","Joshua Academy                    ","867 Walnut St                 ","Evansville          ","IN","47713","Pam Decker                     ","pdecker@joshuaacademy.com","(812) 424-9498","(812) 424-5775"
"9535","4130","K-11","Gary Lighthouse Charter School    ","3201 Pierce Street              ","Gary                ","IN","46408","Lorna Dill","ldill@lighthouse-academies.org","2198801762","2198844858"
"9545","4164","K-12","21st Century Charter School of Gary  ","556 Washington St             ","Gary                ","IN","46402","Angela West","awest@geoacademies.org","(219) 886-9339","(219) 886-9333"
"9555","3935","K-8","East Chicago Urban Enterprise Academy","1402 East Chicago Avenue     ","East Chicago        ","IN","46312","Charlotte Jackson","cjackson@aqs.org","2193923650","2193923652"
"9565","9018","K-6","Galileo Charter School            ","777 North 12th St                 ","Richmond            ","IN","47374","Kevin Handley","khandley@galileocharterschool.org","7659833709","7659833735"
"9575","5523","preK-11","Indianapolis Lighthouse Charter School  ","4002 N Franklin Rd","Indianapolis        ","IN","46226","Kelli Marshall","kmarshall@lighthouse-academies.org","3178972430","3178972448"
"9585","4008","K-10","West Gary Lighthouse Charter School","725 Clark Road ","Gary                ","IN","46408","Kenneth McCants","kmccants@lighthouse-academies.org","2199779583","2199779725"
"9595","3971","K-9","East Chicago Lighthouse Charter School","3916 Pulaski Street","East Chicago        ","IN","46312","Michael Herring","mherring@lighthouse-academies.org","2193787451","2193787460"
"9635","4097","5-10","KIPP LEAD College Preparatory School","6060 Miller Avenue","Gary                ","IN","46403","Makiyah Moody","mmoody@kipp.org","2199799236","2199792611"
"9640","2551","9-12","Options Charter School - Noblesville  ","9945 Cumberland Pointe Blvd.","Noblesville","IN","46060","Kevin Davis                    ","kdavis@optionsined.org","3177738659","3177739017"
"9645","5716","K-5","The Challenge Foundation Academy","3960 Meadows Dr               ","Indianapolis        ","IN","46205","Charlie Schlegel","cschlegel@teamcfaindy.org","3178033182","3178032367"
"9650","5724","9-12","Herron High School","110 East 16th Street","Indianapolis        ","IN","46202","Janet McNeal","jmcneal@herronhighschool.org","3172310010","3172313759"
"9655","5292","9-12","Hope Academy","8102 Clearvista Parkway","Indianapolis        ","IN","46256","Gail Stone","gstone@fairbankscd.org","3175729356","3178063104"
"9665","2572","K-8","Geist Montessori School","13942 E 96th St., Suite 120","McCordsville","IN","46055","Trisha Armstrong","armstrongtrisharenee@yahoo.com","3173351158","3173351265"
"9590","5282","K-9","Monument Lighthouse Charter School","4002 N Franklin Rd","Indianapolis        ","IN","46226","Jamie Brady","jbrady@lighthouse-academies.org","3178972448",
"9690","4711","K-8","Renaissance Academy Charter School","4093 West US 20","LaPorte","IN","46350","Kieran McHugh","km@rschool.net","2198788711","8003116038"
"9695","0159","K-8","Imagine MASTer Academy","2000 North Wells Street, Bldg. 6","Fort Wayne          ","IN","46808","James Huth","james.huth@imagineschools.com","2604208395","2604207916"
"9785","5837","K-12","Indiana Math and Science Academy - Indianapolis","4575 W 38th St.","Indianapolis        ","IN","46254","Gultekin John Aytekin","aytekins@gmail.com","3172980025","3172980038"
"9685","4043","K-8","Aspire Charter Academy","4900 W 15th Ave","Gary                ","IN","46406","Gloria McDaniel-Hall","76.ghall@heritageacademies.com","2199447400","2199447474"
"9790","5092","K-12","Anderson Preparatory Academy","3205 W 25th Street","Anderson","IN","46011","Robert Guillaume","rguillaume@goapa.org","7656498472","7656402550"
"9795","2411","K-6","Dr. Robert H. Faulkner Academy","1111 West 2nd Street","Marion","IN","46952","Janice Adams","jadams@faulkneracademy.org","7656629910","7656629918"
