"School Name","Contact","Address","City","State","Zip","Telephone","E-Mail","Fax","Web Site"
"Academy Charter High School","Mary Jo L. McKinley","1725 Main Street","Lake Como","NJ","7719","(732) 681-8377","mjk55@comcast.net","(732) 681-8375","www.academycharterhs.org"
"Adelaide L. Sanford Charter School","De Lacy Davis","53 Lincoln Park","Newark","NJ","7102","(973) 297-1275","alscs1@aol.com","(973) 297-1120","www.alscs.org"
"Bergen Arts and Science Charter School","Nihat Guvercin","200 McArthur Avenue","Garfield","NJ","7026","(973) 253-0002","nguvercin@bergencharter.org","(973) 253-0110","www.bergencharter.org"
"Burch Charter School of Excellence","Dorian L. Dorsey","100 Linden Ave","Irvington","NJ","7111","(973) 373-3223","ddorsey@burchcharterschool.org","(973) 373-3228","www.burchcharterschool.org"
"Camden Academy Charter High School","Joseph V. Conway","879 Beideman Avenue","Camden","NJ","8105","(856) 365-1000 x101","camdenspromise@aol.com","(856) 365-8179","Web Site: www.promiseacademycharter.org"
"Camden's Pride Charter School","Rebecca Brinkmann","820 Lois Ave.","Camden","NJ","8105","(856) 365-1000 ex:318","rbrinkmann@promiseacademycharter.org","(856) 365-0037","www.promiseacademycharter.org"
"Camden's Promise Charter School","Joseph V. Conway","879 Beideman Avenue","Camden","NJ","8105","(856) 365-1000 x101","camdenspromise@aol.com","(856) 365-1005","www.promiseacademycharter.org"
"Capital Prepartory Charter High School","Shenette Gray","22 Grand Street","Trenton","NJ","8618","(609) 393-9060","sgray@capitalprepchs.org","(609) 393-9047","www.freeweb.com"
"Center for Responsible Economic and Technological Excellence Charter School (CREATE)","Steve Lipski","164 Lembeck Street","Jersey City","NJ","7305","(201) 413-1500","slipski@create-hs.org","(201) 413-1800","www.create-hs.org"
"Central Jersey Arts Charter School","Benjamin Fox","35 Watchung Avenue","Plainfield","NJ","7060","(908) 753-0030","bfox@cjacsarts.org","(908) 753-0032","www.cjacsarts.org"
"Central Jersey College Prep Charter School","Bekir Duz","17 School House Road","Somerset","NJ","8873","(732) 302-9991","duz@njcollegeprep.org","(732) 302-9992","www.njcollegeprep.org"
"chARTer~TECH High School for the Performing Arts","Janice Strigh","413 New Road","Somers Point","NJ","8244","(609) 926-7694","jstrigh@6chartertech.org","(609) 926-8472","http://www.chartertech.org"
"Classical Academy Charter School of Clifton","Vincent DeRosa","20 Valley Road","Clifton","NJ","7013","(973) 278-7707","magdedarosa.classicalacademy@earthlink.net","(973) 278-7720","www.classicalacademy.org"
"Community Charter School of Paterson","Christina Hernandez","75 Spruce Street","Paterson","NJ","7501","(973) 413-2057","chernandez@myccsp.org","(973) 345-7623","www.myccsp.org"
"D.U.E. Season Charter School","Doris C. Carpenter","1000 Atlantic Avenue","Camden","NJ","8104","(856) 225-0511","drcarpenter@dueseasoncharterschool.org","(856) 668-2196","www.dueseasoncharterschool.org"
"Discovery Charter School","Irene Hall","303-309 Washington Street","Newark","NJ","7102","(973) 623-0222","adewey@aol.com","(973) 623-0024","www.discoverylearningcenter.org"
"East Orange Community Charter School","Harvin T. Dash","99 Washington Street","East Orange","NJ","7017","(973) 996-0400 x120","eoccs@theeoccs.org","(973) 996-0398","www.theeoccs.org"
"Elysian Charter School of Hoboken","Carol Stock","301 Garden Street","Hoboken","NJ","7030","(201) 876-0102","elysiancharteroffice@yahoo.com","(201) 876-9576","www.ecsnj.org"
"Emily Fisher Charter School of Advanced Studies","Dallas Dixon","31 Chancery Lane","Trenton","NJ","8618","(609) 656-1946","psemegran@emilyfisher.org","(609) 656-1894","www.emilyfisher.org"
"Englewood on the Palisades Charter School","Anthony Barckett","65 West Demarest Avenue","Englewood","NJ","7631","(201) 569-9765","charterschool@netzero.net","(201) 568-9576","www.epcs.ws"
"Environment Community Opportunity Charter School (ECO Charter School)","Antoinette C. Dendtler","817 Carpenter Street","Camden","NJ","8102","(856) 963-2627","a.dendtler@ecocharterschool.org","(856) 963-2628"
"Foundation Academy Charter School","Ronald Brady","333 South Broad Street","Trenton","NJ","8608","(609) 920-9200","cbrady@foundationacademy.org","(609) 920-9205","www.foundationacademy.org"
"Freedom Academy Charter School","Ernest Harper","1400 Collings Road","Camden","NJ","8104","(856) 962-0766","HARPER@kippfreedomacademy.org","(856) 962-0769","www.kippfreedomacademy.org"
"Galloway Community Charter School","Deborah Nataloni","112 South New York Road","Galloway","NJ","8205","(609) 652-7118ex:100","msdnat@aol.com","(609) 652-3640","www.gccscharterschool.org"
"Gray Charter School","Verna Gray","55 Liberty Street","Newark","NJ","7102","(973) 824-6661","graychartersch@aol.com","(973) 824-2296"
"Greater Brunswick Charter School","Robert Agree","429 Joyce Kilmer Avenue","New Brunswick","NJ","8901","(732) 448-1052","r.agree@greaterbrunswick.org","(732) 448-1055","http://greaterbrunswick.org"
"Greater Newark Charter School (formerly Newark, Greater Newark Academy Charter School","Peter Turnamian","72 Central Avenue","Newark","NJ","7102","(973) 242-3543ex20","pturnamian@greaternewarkcharterschool.org","(973) 242-5792","www.greaternewarkcharterschool.org"
"Hoboken Charter School","Alfredo Huereca","Fourth and Garden Streets","Hoboken","NJ","7030","(201) 963-0222","ahuereca@hobokencs.org","(201) 963-0880","www.hobokencs.org"
"Hope Academy Charter School","Alexis C. Harris","601 Grand Avenue","Asbury Park","NJ","7712","(732) 988-4227","aharris@hopeacademycs.org","(732) 988-9125","www.hopeacademycs.org"
"Institute for Excellence Charter School","Antoinette Thompson","41 South Rt. 73 41 South Rt. 73, PO Box 264","Cedar Brook","NJ","8018","(609) 561-9414","tifecs@tifecs.com","(609) 561-9418","http://www.tifecs.com/Home.asp"
"International Charter School of Trenton","Melissa A. Benford","105 Grand Street","Trenton","NJ","8611","(609) 394-3111","Mbenford@internationalcs.org","(609) 394-3116","www.internationalcs.org"
"Jersey City Community Charter School","Carletta Martin-Goldston","128 Danforth Avenue","Jersey City","NJ","7305","(201) 433-2288",,"(201) 433-5803","www.jcccsonline.org"
"Jersey City Golden Door Charter School","Brian Stiles","180 Ninth Street","Jersey City","NJ","7302","(201) 795-4400 x3425","bstiles@goldendoorschool.org","(201) 795-3308","eflores@goldendoorschool.org"
"Lady Liberty Academy Charter School","Charles Mugambe","23 Pennsylvania Avenue","Newark","NJ","7114","(973) 623-9005","cmugambe@ladylibertyacademycs.org","(973) 623-4088","www.ladylibertyacademycs.org"
