"School Name","Address","City","State","Zip","First","Last","Area Code","Phone","Email","County","Type"
"Polly Fox Academy Community School","1505 Jefferson Ave","Toledo","OH","43604","Craig","Cotner","419","7204500","craig.cotner@phoenixtoledo.org","Lucas","High School"
"Phoenix Academy Community School","1505 Jefferson Ave","Toledo","OH","43604","Craig","Cotner","419","7204500","craig.cotner@phoenixtoledo.org","Lucas","High School"
"Glass City Academy","1000 Monroe St","Toledo","OH","43604","Stewart","Jesse","419","7206311","sjesse@glasscityacademy.org","Lucas","High School"
"Pathway School of Discovery","173 Avondale Dr","Dayton","OH","45404","Keith","Colbert","937","2355498","50.kcolbert@nhaschools.com","Montgomery","Elementary School"
"Alliance Academy of Cincinnati","1712 Duck Creek Rd","Cincinnati","OH","45207","Christopher","Petty","513","7515555","51.cpetty@heritageacademies.com","Hamilton","Elementary School"
"Newark Digital Academy","255 Woods Ave","Newark","OH","43055","Douglas","Ute","740","3282022","dute@laca.org","Licking","High School"
"Hamilton Alternative Academy","775 Rathmell Rd","Columbus","OH","43207","Allyson","Price","614","4918044","aprice@hamilton-local.k12.oh.us","Franklin","High School"
"Wildwood Environmental Academy","1546 Dartford Rd","Maumee","OH","43537","Elizabeth","Lewin","419","8689885","elizabeth.lewin@leonagroup.com","Lucas","High School"
"Ohio Connections Academy, Inc","3740 Euclid Ave Ste 101","Cleveland","OH","44115","Marie","Hanna","216","3619460",,"Cuyahoga","High School"
"Quaker Digital Academy","248 Front Ave SW","New Philadelphia","OH","44663","Richard","Varrati","330","3640618","varratir@go2qda.org","Tuscarawas","High School"
"Greater Ohio Virtual School","1879 Deerfield Rd","Lebanon","OH","45036","John","Lazares","513","6952924","john.lazares@warrencountyesc.com","Warren","High School"
"Auglaize County Educational Academy","1130A East Albert St","Lima","OH","45804","Ann","Harvey","419","7384572","aharvey@auglaizeesc.org","Allen","High School"
"Bridges Community Academy","190 St Francis Ave","Tiffin","OH","44883","Dona","Kaufman","419","4559295","dkaufman@bridgescommunityacademy.com","Seneca","High School"
"Constellation Schools: Westpark Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","216","2517200","preseren.gerald@constellationschools.com","Cuyahoga","Middle School"
"Menlo Park Academy","14440 Triskett Rd","Cleveland","OH","44111","Paige","Baublitz-Watkins","440","9256365","paige.bw@menloparkacademy.com","Cuyahoga","Elementary School"
"Constellation Schools: Madison Community Elementary","2015 W 95th St","Cleveland","OH","44102","Gerald","Preseren","216","6515212","preseren.gerald@constellationschools.com","Cuyahoga","Elementary School"
"Constellation Schools: Lorain Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","440","2422023","preseren.gerald@constellationschools.com","Lorain","Middle School"
"Constellation Schools: Old Brooklyn Community Middle","5730 Broadview Rd","Parma","OH","44134","Gerald","Preseren","216","3510280","preseren.gerald@constellationschools.com","Cuyahoga","Junior High School"
"Horizon Science Academy Toledo","2600 W Sylvania Ave","Toledo","OH","43613","Mustafa","Arslan","419","4743350","arslan@conceptschools.org","Lucas","High School"
"Miamisburg Secondary Academy","540 Park Ave","Miamisburg","OH","45342","Gregory","Whitehead","937","8663381","gwhitehead@miamisburg.k12.oh.us","Montgomery","High School"
"Mansfield Enhancement Academy","445 Bowman St","Mansfield","OH","44903","Deborah","Franklin","419","5250105","dfranklin@mansfield.k12.oh.us","Richland","High School"
"Mansfield Elective Academy","445 Bowman St","Mansfield","OH","44903","Deborah","Franklin","567","2474475","dfranklin@mansfield.k12.oh.us","Richland","Elementary School"
