"Charter School","Grades Served","Contact Person1","Contact Phone","Contact Email 1","Street Address","CS City 1","CS Zip1","Mailing Address"
"Academy for Character Education (ACE)","K-12","Starr Sahnow","541-942-9707","starr@aceclassicaled.org","195 N 6th St","Cottage Grove","97424","PO Box 1652, Cottage Grove, OR 97424",
"Academy of Arts and Academics","9-12","Michael Fisher","541-744-6728","mfisher@sps.lane.edu","615 Main St","Springfield","97477",,
"ACE Academy (Architecture, Construction and Engineer)","11-12","Mike Bryant","503-546-9928","mbryant@acecharterschool.org","4222 NE 158th Ave","Portland","97230",,
"Alliance Charter Academy","K-12","Lara Fabrycki","503-785-8556","larafabrycki@acaweb.us","16075 Front Ave","Oregon City","97045",,
"Annex Charter School","K-8","Dan Beaubien","541-262-3280","dan.beaubien@annex.k12.or.us","402 Annex Rd","Ontario","97914-8010",,
"Arco Iris Spanish Immersion School","1-4","Maureen Childs","503-473-0416","maureen.childs@arcoirisschool.org","1500 NW 185th Ave, ","Beaverton","97006-1909","11815 SW Terra Linda St, Portland, OR 97005",
"Arlington Charter School","K-12","Steve Boynton","541-454-2632","sboynton@arlington.k12.or.us","1200 Main St","Arlington","97812","PO Box 10, Arlington, OR 97812",
"Armadillo Technical Institute","6-12","Mike Warner","541-535-3287","armadillotech@gmail.com","106 Rose St","Phoenix","97535-1560","PO Box 1560, Phoenix, OR 97535-1560",
"Arthur Academy","K-5","Stephanie Brown","503-252-3753","stephaniwalker1@yahoo.com","13717 SE Division St.","Portland","97236",,
"Baker Early College Academy","10-12","Nathan Williams","541-524-2300","nwilliams@bakercharters.org","2725 Seventh St","Baker City","97814","2090 Fourth St, Baker City, OR 97814",
"Baker Web Academy","1-12","Nathan Williams","541-524-2300","nwilliams@bakercharters.org","2725 Seventh St","Baker City","97814","2090 Fourth St, Baker City, OR 97814",
"Ballston Community Charter School","K-12","Jeff Clabaugh","503-437-9138","bcsadmin@onlinenw.com","7575 Zena Rd","Rickreall","97371",,
"Bennett Pearson Academy","4-5","Teresa Campbell","503-399-7114","info@beannetpearsonacademy.org","1687 Summer St NE","Salem","97303","PO Box 221, Salem, 97308",
"Bethany Charter School","K-8","Kathy Frank","503-873-4300","frank_kathy@silverfalls.k12.or.us","11824 Hazelgreen Rd. NE","Silverton","97381",,
"Butte Falls Charter School","K-12","Dave Courtney","541-865-3563","dcourtney@buttefalls,k12,or,us","720 Laurel Ave","Butte Falls","97522","PO Box 228",
"Camas Valley School ","K-12","Wayne Gallagher","541-445-2131","wayne.gallagher@camasvalley.k12.or.us","197 Main Camas Rd","Camas Valley","97416","PO Box 57, Camas Valley, OR  97416",
"Cascade Heights Charter School","K-8","Holly Denman","503-653-3996","info@cascadeheights.org","13515 SE Rusk Rd","Milwaukie","97222",,
"Center for Advanced Learning","11-12","Andie Webb","503-667-4978","Andie_webb@thecenterforadvancedlearning.org","1484 NW Civic Dr.","Gresham","97030",,
"Child’s Way Charter School","6-12","Michael Kerns","541-946-1821","childsway2@pacinfo.com","37895 Row River Rd","Dorena","97434",,
"City View Charter School","K-8","Jeffrey Hays","503-844-9424","jhays@cityviewcharter.org","4174 SE Bentley St","Hillsboro","97123","PO Box 1808, Hillsboro, OR 97123",
"Clackamas Academy of Industrial Science","9-10","Ginger Redlinger","503-785-8882","ginger.redlinger@orecity.k12.or.us","19761 S Beavercreek Rd","Oregon City","97045-5010",,
"Clackamas Middle College","9-12","Brian Sien","503-518-5925","sienb@nclack.k12.or.us","19729 South Hwy 213","Oregon City","97045",,
"Clackamas Web Academy","1-12","Brad Linn","503-659-4664","linnb@nclack.k12.or.us","8740 SE Sunnybrook Blvd, Suite 350","Clackamas","97015",,
"Coburg Community School","K-5","Terry Hoagland","541-344-4113","terry.hoagland@gmail.com","91274 N Coburg Rd","Eugene","97401","PO Box 8333, Coburg 97408",
"Community Roots School","1-5","Miranda Treager","503-634-2440","treager_miranda@silverfalls.k12.or.us","330 N James St","Mt. Angel","97362",,
"Corbett Charter School","K-12","Bob Dunton","503-695-3621","bdunton@corbettcharter.k12.or.us","35800 E Hist. Columbia River Hwy","Corbett","97019",,
"Cove Charter School","K-12","Todd Shirley","541-568-4424","shirleyt@cove.k12.or.us","803 Main St","Cove","97824","PO Box 68, Cove, OR 97824",
