"County Name","District Name","District City","School Name","School Street Address","School City","School State","School Zip","Phone","Fax","Email Address","School Principal","Grade Range","Enrollment"
"BEXAR COUNTY","SCHOOL OF SCIENCE AND TECHNOLOGY","LEON VALLEY","SCHOOL OF SCIENCE AND TECHNOLOGY","1450 NE LOOP 410","SAN ANTONIO","TX","78209","(210) 804-0222","(210) 822-3422","aakyurek@ssttx.org","MR ATILA AKYUREK   ","'06-12","421"
"HARRIS COUNTY","SOUTHWEST SCHOOL","HOUSTON","PHOENIX SCHOOL AT SOUTHWEST SCHOOLS","3333 BERING DR STE 200","HOUSTON","TX","77057","(713) 784-6345","(713) 974-3137","aarmwood@swschools.org","APRIL ARMWOOD   ","'KG-12","266"
"TAYLOR COUNTY","TEXAS COLLEGE PREPARATORY ACADEMIES","LEWISVILLE","VISTA ACADEMY OF HICKORY CREEK","P O BOX 292730","LEWISVILLE","TX","75029","(940) 321-1144","(940) 321-1116","abenedict@vista-academies.com","MS ANDREA BENEDICT   ","'PK-12","413"
"TARRANT COUNTY","ARLINGTON CLASSICS ACADEMY","ARLINGTON","ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS","2800 W ARKANSAS LN","ARLINGTON","TX","76016","(817) 274-2008","(817) 274-8768","aca.admin@arlingtonclassics.org","KEELA MCGRAW   ","'KG-08","495"
"DALLAS COUNTY","ACADEMY OF DALLAS","OAK PARK","ACADEMY OF DALLAS","1030 OAK PARK DR","DALLAS","TX","75232","(214) 371-9600","(214) 371-1053","acadofdallascs@yahoo.com","MR CONRAD HARGEST   ","'PK-08","495"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","YOUNG SCHOLARS ACADEMY FOR EXCELLENCE","1809 LOUISIANA","HOUSTON","TX","77002-8013","(713) 654-1400","(713) 654-1401","ACOLEMA3@houstonisd.org","MS ANELLA COLEMAN   ","'PK-08","168"
"ELLIS COUNTY","WAXAHACHIE FAITH FAMILY ACADEMY","DESOTO","WAXAHACHIE FAITH FAMILY ACADEMY","1620 FALCON DR","DESOTO","TX","75115","(972) 936-3998","(972) 937-5806","admin@faithfamilyacademy.org","ERIC LEJEUNE   ","'09-12","49"
"ELLIS COUNTY","WAXAHACHIE FAITH FAMILY ACADEMY","DESOTO","WAXAHACHIE FAMILY FAITH ACADEMY","1620 FALCON DR","DESOTO","TX","75115","(972) 936-3998","(214) 375-7681","admin@faithfamilyacademy.org","ERIC LEJEUNE   ","'06-08","43"
"ELLIS COUNTY","WAXAHACHIE FAITH FAMILY ACADEMY","DESOTO","WAXAHACHIE FAMILY FAITH ACADEMY","1620 FALCON DR","DESOTO","TX","75115","(972) 936-3998","(214) 375-7681","admin@faithfamilyacademy.org","ERIC LEJEUNE   ","'PK-05","115"
"GALVESTON COUNTY","PREMIER LEARNING ACADEMY","LA MARQUE","PREMIER LEARNING ACADEMY","5130 CASEY","LA MARQUE","TX","77568","(409) 935-8369","(409) 935-3337","admin@premierlearningacademy.org","TRAVIS WEATHERSPOON   ","'KG-12","0"
"BEXAR COUNTY","SCHOOL OF EXCELLENCE IN EDUCATION","SAN ANTONIO","DR HARMON W KELLEY EL","802 OBLATE","SAN ANTONIO","TX","78216","(210) 431-9881","(210) 432-8467","agarza@excellence-sa.org","MS ALMA GARZA   ","'EE-03","349"
"REAL COUNTY","BIG SPRINGS CHARTER SCHOOL","LEAKEY","BIG SPRINGS CHARTER SCHOOL","P O BOX 399","LEAKEY","TX","78873","(830) 232-7101","(830) 232-4279","ahernandez@bigspringscharterschool.com","MR ALBERT HERNANDEZ   ","'KG-12","71"
"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY","HOUSTON","ACCELERATED INT CHARTER SCHOOL","P O BOX 20589","HOUSTON","TX","77225-0589","(713) 728-9330","(713) 283-6190","aialanc@aol.com","LASHAWN HOSKINS   ","'07 08","0"
"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY","HOUSTON","AIA LANCASTER MIDDLE","P O BOX 20589","HOUSTON","TX","77225","(972) 227-2105","(713) 667-9181","aialanc@aol.com","SHONNA FRANKLIN   ","'07 08","0"
"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY","HOUSTON","ACCELERATED INTERDISCIPLINARY ACAD","P O BOX 20589","HOUSTON","TX","77225-0589","(713) 728-9330","(713) 283-6190","aialanc@aol.com","LASHAWN HOSKINS   ","'PK-06","242"
"HARRIS COUNTY","ACCELERATED INTERMEDIATE ACADEMY","HOUSTON","AIA LANCASTER EL","P O BOX 20589","HOUSTON","TX","77225","(972) 227-2105","(713) 667-9181","aialanc@aol.com","SHONNA FRANKLIN   ","'PK-06","0"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","ENERGIZED FOR EXCELLENCE MIDDLE","6201 BISSONNET","HOUSTON","TX","77081-6809","(713) 773-3600","(713) 773-3630","akho@houstonisd.org","MS ARLENE KHO   ","'06-08","289"
"HARRIS COUNTY","HOUSTON ISD","HOUSTON","NORTH HOUSTON EARLY COLLEGE H S","99 LYERLY ST","HOUSTON","TX","77022-8501","(713) 696-6171","(713) 696-6172","alundyja@houstonisd.org","MS ANGELA LUNDY-JACKSON   ","'09-12","299"
"ERATH COUNTY","PREMIER HIGH SCHOOLS","LEWISVILLE","PREMIER H S OF NORTH AUSTIN","P O BOX 292730","LEWISVILLE","TX","75029","(512) 832-0965","(512) 832-0986","amarlin@responsiveed.com","    ","'06-12","0"
"HIDALGO COUNTY","INFORMATION REFERRAL RESOURCE ASSISTANCE INC","MCALLEN","IRRA INC RIO GRANDE CITY CENTER","P O BOX 164","MACALLEN","TX","78502","(956) 488-8883","(956) 292-0371","amendieta@irra.org","ABELARDO MENDIETA   ","'PK-03 09-12","137"
"EL PASO COUNTY","LA FE PREPARATORY SCHOOL","EL PASO","LA FE PREPARATORY SCHOOL","616 E FATHER RAHM","EL PASO","TX","79901","(915) 533-4560","(915) 533-4175","amy.orourke@lafe-ep.org","AMY O'ROURKE   ","'PK-04","190"
"HARRIS COUNTY","THE VARNETT PUBLIC SCHOOL","HOUSTON","VARNETT CHARTER SCHOOL","PO BOX 1457","HOUSTON","TX","77251-1457","(713) 723-4699","(713) 723-5853","ancluff_vcs@yahoo.com","KELVIN WILLIAMSON   ","'PK-05","792"
"HARRIS COUNTY","THE VARNETT PUBLIC SCHOOL","HOUSTON","THE VARNETT SCHOOL - NORTHEAST","P O BOX 1457","HOUSTON","TX","77251","(713) 631-4396","(713) 491-3597","ancluff_vcs@yahoo.com","DORA MORROW   ","'PK-05","485"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA MCALLEN COLLEGE PREPARATORY","505 ANGELITA DR STE 9","WESLACO","TX","78596","(956) 377-8000","(956) 447-3796","andrea.lopez@ideapublicschools.org","ANDREA LOPEZ   ","'06-12","0"
"HIDALGO COUNTY","IDEA PUBLIC SCHOOLS","WESLACO","IDEA ACADEMY ALAMO","327 E SH 495","ALAMO","TX","78516","(956) 588-4005","(956) 588-4006","angie.arismendi@ideapublicschools.org","ANGIE ARISMENDI   ","'KG 01","105"
