"School Name","School Code","Headmaster","Address","City","State","Zip Code","Zip Code + 4","Phone","Fax","Email"
"ABBEVILLE CHRISTIAN ACADEMY","0010","BARBARA LINDSEY","PO BOX 9","ABBEVILLE","AL","36310","0009","334-585-5100","334-585-5100","pkelley@abbevillechristianacademy.com"
"ACTS ACADEMY","0011","MR EARL BRYANT","316 FOB JAMES DR","VALLEY","AL","36854","5288","334-576-4975","999-999-9999","ebryant50@live.com"
"VIVIAN B ADAMS SCHOOL","0015","MR DAVID SPRAYBERRY","2047 STUART TARTER RD","OZARK","AL","36360","7557","334-774-5132",,"david.sprayberry@vivianbadams.org"
"ADVENT EPISCOPAL DAY SCHOOL","0020","UNA S BATTLES","2019 6TH AVE N","BIRMINGHAM","AL","35203","2790","205-252-2535","205-252-3023","ubattles@advent.pvt.k12.al.us"
"ALABAMA CAREER EDUCATION & LIFE SKILLS CENTER","0025","J. VINCENT BROWN","609 INVERNESS LNDG","BIRMINGHAM","AL","35242","3842","832-445-6404","999-999-9999","alcareereduccenter@gmail.com"
"ALABAMA CHRISTIAN ACADEMY","0030","MILTON C SLAUSON","4700 WARES FERRY RD","MONTGOMERY","AL","36109","3317","334-277-1985",,"rsewell@alabamachristian.com"
"THE ALTAMONT SCHOOL","0045","SARAH WHITESIDE","4801 ALTAMONT RD S","BIRMINGHAM","AL","35222","4499","205-445-1210","999-999-9999","administrator@altamontschool.com"
"ALL SAINT'S EPISCOPAL SCH","0070","MS KATHERINE K WALSH","112 W HAWTHORNE RD","BIRMINGHAM","AL","35209","3922","205-879-1092","205-897-0574","nonesupplied@noreply.com"
"AMERICAN CHRISTIAN ACADEMY","0095","DAN CARDEN","2300 VETERANS MEMORIAL PKWY","TUSCALOOSA","AL","35404","4158","205-553-5963","205-553-5942","dcarden@acacademy.com"
"AMERICAN ACADEMY","0096","DR DORIS J BROWN","1909 GOVERNMENT ST","MOBILE","AL","36606","1625","251-644-1585","999-999-9999","nonesupplied@noreply.com"
"ANGELA DAVIS CHRISTIAN ACADEMY","0111","MR FREDDIE LEE DAVIS SR","166 MEAHER AVE","PRICHARD","AL","36610","4871","251-456-7353","251-456-7357","tmelect@hotmail.com"
"AOH CHRISTIAN SCHOOL","0112","MS JUANITA ARRINGTON","PO BOX 6238","MOBILE","AL","36660","0238","205-324-2253","999-999-9999","nonesupplied@noreply.com"
"ARC OF SHELBY COUNTY","0114","MS KAREN STOKES","1960 CHANDALAR DR","PELHAM","AL","35124","4323","205-664-9313","999-999-9999","karenstokes@bellsouth.net"
"THE ARC OF MADISON COUNTY","0115","MS SUSAN KLINGEL","1100 WASHINGTON ST NW","HUNTSVILLE","AL","35801","4678","256-539-2266","999-999-9999","sklingel@hsvarc.org"
"THE DONOHO SCHOOL","0120","JANICE D HURD","2501 HENRY RD","ANNISTON","AL","36207","6399","256-237-5477","256-237-6474","jhurd@donohoschool.com"
"ASCENSION EPISCOPAL KINDERGARTEN","0140","JERRIE ELLIOTT","1912 CANYON RD","VESTAVIA","AL","35216","1753","205-979-8711","999-999-9999","jerrie.elliott@ascensionepiscopal.org"
"ASHFORD ACADEMY","0160","MS REBECCA D BAGGETT","1100 N BROADWAY ST","ASHFORD","AL","36312","3523","334-899-3286",,"bbaggett36117@yahoo.com"
"ATMORE CHRISTIAN SCHOOL","0171","MRS GOLDIE HUBER","245 TENNANT DR","ATMORE","AL","36502","1010","251-368-5499","999-999-9999","nonesupplied@noreply.com"
"WEST MOBILE BAPT CHRISTIAN SCHOOL AND CDC","0178","MS JENNIFER FELTMAN","7501 AIRPORT BLVD","MOBILE","AL","36608","5001","334-639-6868","334-633-9825","nonesupplied@noreply.com"
"ATHENS BIBLE SCHOOL","0180","MR RANDALL LUNSFORD ADAMS","507 HOFFMAN ST","ATHENS","AL","35611","2799","256-232-3525","999-999-9999","randall.adams@athensbibleschool.org"
"AUTAUGA ACADEMY","0190","GERALD CARTER","497 GOLSON RD","PRATTVILLE","AL","36067","9702","334-365-4343","334-365-7713","gcarter@autaugaacademy.com"
"BAYSIDE ACADEMY","0200","MR THOMAS F JOHNSON","303 DRYER AVE","DAPHNE","AL","36526","4484","334-626-2840","334-626-2899","tjohnson@baysideacademy.org"
"BAYSHORE CHRISTIAN SCHOOL","0201","MR MARK .X. COX","23050 US HIGHWAY 98","FAIRHOPE","AL","36532","3370","251-929-0011",,"admin@bayshorechristian.org"
"BESSEMER ACADEMY","0240","MRS JULIE FULLER KELLY","1705 4TH AVE SW","BESSEMER","AL","35022","0000","205-428-6288","205-426-8888","jkelly@bessemeracademy.com"
"BETHLEHEM CHRISTIAN ACADEMY","0247","MRS SUZANNE ELAINE CROCKER","1936 ELKWOOD SECTION RD","HAZEL GREEN","AL","35750","8110","256-828-4835","999-999-9999","suzanne.crocker@bbchg.org"
"BETHANY CHRISTIAN ACADEMY","0248","MR VICTOR - WALLER","1765 HIGHLAND AVE","MONTGOMERY","AL","36107","2601","334-264-2101","334-264-0513","serveright2@yahoo.com"
"BETHANY DAY CARE - KINDERGARTEN","0249","MRS ADDIE MYRICK","714 CEDAR ST","MONTGOMERY","AL","36106","1002","334-265-5521","335-265-5521","bethanydaycare@knology.net"
"BETHEL BAPTIST SCHOOL","0253","MS JANIS WELLS","1301 BETHEL ROAD NORTH E","HARTSELLE","AL","35640","0000","256-773-2154",,"jwells@bethelofhartselle.org"
"BETHEL BAPTIST CHURCH CDC","0254","MS CAROLYNE K MCCALL","1637 PEARSON AVE SW","BIRMINGHAM","AL","35211","2635","205-923-8363",,"nonesupplied@noreply.com"
"BETHLEHEM CHILD DEVELOPEMENT CENTER","0256","MS LIZ KING","416 BETHLEHEM RD","MIDLAND CITY","AL","36350","7000","334-673-4980","999-999-9999","lizbcdc@yahoo.com"
"BETTER LIFE CHRISTIAN ACADEMY","0257","PSTR SANDRA BOUTWELL","8020 MOFFETT RD STE C","SEMMES","AL","36575","4701","251-649-4006",,"nonesupplied@noreply.com"
"BIBLE WAY CHRISTIAN ACADEMY","0261","MS ELLEN GARRISON","8224 COUNTY ROAD 36","SNEAD","AL","35952","0000","205-466-5606","205-466-7107","bibleway@hopper.net"
"BLUFF PARK UNITED METHODIST CHURCH","0263","JOAN LANDRUM","733 VALLEY ST","HOOVER","AL","35226","1296","205-822-0910","205-824-0228","nonesupplied@noreply.com"
"TUSCALOOSA CHRISTIAN","0265","MR DAN LANCASTER","PO BOX 250","COTTONDALE","AL","35453","0103","205-553-4303","205-553-4259","dlancaster@tcswarriors.org"
"N E MILES JEWISH DAY SCHOOL","0270","ROBERT GREENBERG","4000 MONTCLAIR RD","BIRMINGHAM","AL","35213","2412","205-879-1068",,"nemjdsdir@aol.com"
"BRADFORD HEALTH SERVICE - MADISON","0286","RICHARD ADAMS","1600 BROWNS FERRY RD","MADISON","AL","35758","9601","256-461-7272","256-464-9618","nonesupplied@noreply.com"
"BREAK THROUGH","0291","MR SAWASKI JACKSON","20 MARSHALL ST","MONTGOMERY","AL","36104","5441","334-264-8027","334-264-8027","nonesupplied@noreply.com"
"BRIARWOOD CHRISTIAN SCHOOL","0302","DR BARRETT MOSBACKER","6255 CAHABA VALLEY RD","BIRMINGHAM","AL","35242","4915","205-776-5902","999-999-9999","Khux@bcsk12.org"
