"School Name","Principals Name","Email","Address","City","Zip","State","Phone","Fax"
"Saint Thomas Aquinas School","Patrick Reardon","preardon@stacc.net","13720 W. Thomas Road","Avondale","85392","AZ","(623) 935-0945","(623) 935-5044"
"St. Thomas Aquinas Elementary School","Patrick Reardon","preardon@stacc.net","13720 W. Thomas Rd","Avondale","85392","AZ","(623) 935-0945","(623) 935-5044"
"St. Thomas Aquinas Preeschool School","Kelly Minten","kminten@stacc.net","13720 W. Thomas Rd","Avondale","85392","AZ","(623) 935-0945",
"St Peter Indian Mission School","Martha Mary Carpenter","smarthac5@gmail.com","1500 N. St. Peter Rd","Bapchule","85221","AZ","(520) 315-3538","(520) 315-3963"
"Benson Christian School","Twinkie Diaz","school@gracechapelbenson.org","1050 S. Post Rd","Benson","85602","AZ","(520) 586-2358",
"Grace Fellowship Academy","Geri Parker","principal@graceinbuckeye.com","1300 N Miller Rd","Buceye","85326","AZ","623-393-8883","623-327-0108"
"Camp Verde United Christian School","Michele Evans","cvucs@qwestoffice.net","P.o. Box 3126","Camp Verde","86322","AZ","(928) 567-0415","(928)567-9774"
"Our Lady of Joy Preschool","Christine Tax","ctax@oloj.org","PO Box 1359","Carefree","85377","AZ","(480) 595-6409","(480) 437-1093"
"St Anthony Of Padua Catholic School","Joseph Parzych","st_anthony_sch@qwestoffice.net","501 E 2nd St","Casa Grande","85222","AZ","(520) 836-7247","(520) 836-7289"
"Anunciation Catholic School","Sharon Pristash","spristash@acsphx.org","32648 N. Cave Creek Rd","Cave Creek","85331","AZ","(480) 361-8234","(480) 595-0886"
"Seton Catholic Preparatory High School","Patricia Collins","pcollins@setonchs.org","1150 North Dobson Road","Chandler","85224","AZ","(480) 963-1900","(480) 963-1974"
"St. Mary-Basha Catholic School","Mary Thelma Anubalu","smt@stmarybashacatholic.org","200 West Galveston","Chandler","85225","AZ","(480) 963-4951","(480) 963-8959"
"St. Joseph Catholic School","Gregory Kirkham","gkirkham@sjcms.net","2715 E. State Route 89A","Cottonwood","86326","AZ","(928) 649-0624","(928) 649-1191"
"St. Joseph School","Diana Cienega","dianacienega@gmail.com","2715 E. State Route 89A","Cottonwood","86326","AZ","(928) 649-0624",
"San Francisco De Asis","Lisa Barquin","lbarquin@sfdaparish.org","320 N. Humphreys","Flagstaff","86001","AZ","(928) 779-1337",
"San Francisco De Asis Elementary School","Mary Frances Malinoski","mmalinoski@sfdaparish.org","320 North Humphreys","Flagstaff","86001","AZ","(928) 779-1337","(928) 774-1943"
"Our Lady Of Perpetual Help","Ardath Ascenzi","aascenzi@olph.com","7521 North 57th Avenue","Glendale","85301","AZ","(623) 931-7288",
"Our Lady Of Perpetual Help Elementary School","Catherine Lucero","clucero@diocesephoenix.org","7521 North 57th Avenue","Glendale","85301","AZ","(623) 931-7288","(623) 930-0256"
"St. louis The King","Yasmeen Watkins","prek@slkschool.com","4331 W. Maryland Avenue","Glendale","85301","AZ","(623) 939-4260",
"St. Louis The King Elementary Catholic School","Charlene Krushinsky","principal@slkschool.com","4331 West Maryland Avenue","Glendale","85301","AZ","(623) 939-4260","(623) 930-1129"
"St. John Vianney Elementary School"," Jim Gmelich","jgmelich@sjvaz.net","539 La Pasada Blvd","Goodyear","85338","AZ","(623) 932-2434","(623) 925-0094"
"St. John Vianney Preschool school","Cindy Zuleger","czuleger@sjvaz.net","539 La Pasada Blvd","Goodyear","85338","AZ","(623) 932-2434",
"Our Lady of the Lake Catholic PS","Jeff Arner","dcnjeffrey@gmail.com","1975 Daytona Drive","Lake Havasu City","86403","AZ","(928) 855-0154","(928) 855-7172"
"Christ The King Elementary School","Donald Graff","dgraff@ctk-catholic.org","1551 East Dana Avenue","Mesa","85204","AZ","(480) 844-4480","(480) 844-4498"
"Christ The King School","Mary Agnes","magnes@ctk-catholic.org","1551 East Dana Avenue","Mesa","85204","AZ","(480) 844-4480",
"Queen Of Peace","Annette Murphy","amurphy@qop.org","109 North Macdonald Street","Mesa","85201","AZ","(480) 969-0226",
"Queen Of Peace Elementary School","Dorothy Zeller","srdorothy@qop.org","109 North Macdonald Street","Mesa","85201","AZ","(480) 969-0226","(480) 275-2097"
"St. Thimoty Catholic School","Maureen Vick","mvick@sttimothymesa.org","2520 S. Alma School","Mesa","85210","AZ","(480) 775-2650","(480) 775-2651"
"St. Timothy Preschool","Monica Glick","mglick@sttimothymesa.org","1730 W. Guadalupe Rd","Mesa","85202","AZ","(480) 775-5237","(480) 820-7984"
"Bougade Catholic High School","Kathryn Rother","krother@bourgade.org","4602 North 31st Avenue","Phoenix","85017","AZ","(602) 973-4000","(602) 973-5854"
"Brophy College Preparatory ","Bob Ryan","BRyan@brophyprep.org","4701 North Central Avenue","Phoenix","85012","AZ","(602) 264-5291","(602) 234-1669"
"Most Holy Trinity","Maggie MacCleary","mmaccleary@mht.org","535 East Alice Avenue","Phoenix","85020","AZ","(602) 943-9058",
"Ss. Simone And Jude","Catherine Chrisman","cchrisman@simonjude.org","6351 N. 27th Ave","Phoenix","85017","AZ","(602) 242-1299",
"SS. Simone And Jude Elementary School","Raphael Quinn","srraphael@simonjude.org","6351 North 27th Avenue","Phoenix","85017","AZ","(602) 242-1299","(602) 433-7608"
"St. Agnes Preschool School","Michelle Finley","mfinley@stagnesphx.org","2311 East Palm Lane","Phoenix","85006","AZ","(602) 244-1451",
"St. Catherine of Siena","Rob Rogers","rrogers@thesclions.org","6413 South Central Avenue","Phoenix","85042","AZ","(602) 276-2241",
"St. Francis Xavier ","Amy Quintel","amy.quintel@sfxphx.org","4715 N. Central Ave","Phoenix","85012","AZ","(602) 266-5364",
"St. Francis Xavier Elementary School","Kimberly Cavnar","kim.cavnar@sfxphx.org","4715 North Central","Phoenix","85012","AZ","(602) 266-5364","(602) 279-0423"
"St. Gregory School","Maureen DeGrose","mdegrose@stgphx.com","3440 North 18th Avenue","Phoenix","85015","AZ","(602) 266-9527",
"St. Jerome School","Carl Hodus","chodus@saintjerome.org","10815 North 35th Avenue","Phoenix","85029","AZ","(602) 942-5644",
"St. Joan of Arc Preschool","Debbie Hilliard","dhilliard@stjoanofarc.com","3801 E. Greenway Road","Phoenix","85032","AZ","(602) 867-9179","(602) 482-7930"
"St. John Bosco School","Shelley Conner","sconner@sjbosco.org","16035 S. 48th St","Phoenix","85048","AZ","(480) 219-4848",
"St. Mary's Catholic High School","Suzanne Fessler","sfessler@smknights.org","2525 North 3rd Street","Phoenix","85004","AZ","(602) 251-2500","(602) 251-2595"
"St. Matthew School","Gena McGowan","gmcgowan@stmatthewaz.org","2038 West Van Buren Avenue","Phoenix","85009","AZ","(602) 254-0611","(602) 393-7813"
"St. Theresa Elementary School","Maureen Fyan","mfyan@stcs.us","5001 East Thomas Road","Phoenix","85018","AZ","(602) 840-0010","(602) 840-8323"
"St. Theresa School","Cecelia Wolf","cwolf@stcs.us","5001 E. Thomas Road","Phoenix","85018","AZ","(602) 840-0010",
"St. Thomas The Apostle School","Mary Coffman","mcoffman@staphx.org","4510 North 24th Street","Phoenix","85016","AZ","(602) 954-9088","(602) 381-3256"
"St. Vincent De Paul","Jiffy Yslava","jyslava@svdpschool.org","3130 North 51st Avenue","Phoenix","85031","AZ","(623) 873-8060",
"St. vincent De Paul Elementary School","Julie Kubasak","principal@svdpschool.org","3130 North 51st Avenue","Phoenix","85031","AZ","(623) 247-8595","(623) 245-0132"
"St.Agnes Elementary School","Denise Campbell","dcampbell@stagnesphx.org","2311 East Palm Lane","Phoenix","85006","AZ","(602) 244-1451","(602) 286-0250"
"Xavier College Preparatory ","Joan Fitzgerald","sjfphx@xcp.org","4710 North 5th Street","Phoenix","85012","AZ","(602) 277-3772","(602) 279-1346"
"Sacred Heart Catholic School","Pamela Dickerson","pdickerson@shcsprescott.com","131 North Summit Avenue","Prescott","86301","AZ","(928) 445-2621","(928) 445-0966"
"Sacred Heart Preschool","Janice Richards","jrichards@shcsprescott.com","151 Fleury Avenue","Prescott","86301","AZ","(928) 445-3141",
"Our Lady Of Guadalupe","Linda Osowski","LindaO@ologparish.org","P.O. Box 856","Queen Creek","85142","AZ","(480) 655-5999",
"Blessed Pope John Elementary Catholic School","Preston Colao","pcolao@popejohnxxiii.org","16235 N. 60th Street","Scottsdale","85254","AZ","(480) 905-0939","(480) 905-0955"
"Blessed Sacrament Preschool","Heather Fraher","hfraher@diocesephoenix.org","11300 N. 64th St.","Scottsdale","85254","AZ","(480) 998-9466","(480) 951-3844"
"Notre Dame Preparatory High School","David Gonsalves","dgonsalves@notredamepreparatory.org","9701 East Bell Road","Scottsdale","85260","AZ","(480) 634-8200","(480) 634-8299"
"Our Lady Of Perpetual Help Elementary School","Donna Lauro","dlauro@diocesephoenix.org","3801 North Miller Road","Scottsdale","85251","AZ","(480) 874-3720","(480) 874-3767"
"St. Maria Goretti Preschool","Kathleen Bies","kbies@smgaz.org","6261 N. Granite Reef","Scottsdale","85250","AZ","(480) 948-3606","(480) 948-8815"
"Our Lady of Mount Carmel","Molly Gorman","molly@olmctempe.com","2115 S. Rural Road","Tempe","85282","AZ","(480) 966-1753","(480) 967-4919"
