"District Name","School Name","Principal Name","Email","Street1","City","Zip","streetaddress","cityaddress"
"Caesar Rodney","Calvary Christian Academy","Mr. Aaron Coon","aaron@wearecca.com","1143 East Lebanon Road","Dover","19934","1143 East Lebanon Road","Dover, DE 19934"
"Colonial","Academy for Creative Enrichment","Dorothy Pritchard","ace1458@live.com","1458 Bear-Corbitt Road","Bear","197204214","1458 Bear-Corbitt Road","Bear, DE 19720-4214"
"Christina","St. Elizabeth's Elementary School","Alexandria M. Cirko","acirko@sainteliz.org","1500 Cedar Street","Wilmington","198014499","1500 Cedar Street","Wilmington, DE 19801-4499"
"Red Clay","Centreville School","Ms. Denise Orenstein","admissions@centrevilleschool.org","6201 Kennett Pike","Wilmington","19805","6201 Kennett Pike","Wilmington, DE 19805"
"Brandywine","Astra Zeneca Child Development Center","Kelly Freel","astrazeneca@brighthorizons.com","1920 Rockland Road","Wilmington","19809","1920 Rockland Road","Wilmington, DE 19809"
"Capital","Kingdom Christian Academy","Angela Wilson","awilson@kingdomchristianacademy.org","4867 N. Dupont Highway","Dover","199043498","4867 N. Dupont Highway","Dover, DE 19904-3498"
"Colonial","Layton Preparatory School","Barton Reese Mr.","breese@laytonprep.org","55 Reads Way","New Castle","197204214","55 Reads Way","New Castle, DE 19720-4214"
"Cape Henlopen","Jefferson School (The)","Ms. Constance Hendricks","c.hendricks@jeffersonschool.com","22051 Wilson Road","Georgetown","199581798","22051 Wilson Road","Georgetown, DE 19958-1798"
"Red Clay","Salesianum School","Rev. J. Christian Beretta","cberetta@salesianum.org","1801 North Broom Street","Wilmington","19805","1801 North Broom Street","Wilmington, DE 19805"
"Indian River","Cozy Critters Child Care","Lora L. Collins","cozycritters@mchsi.com","RR 1 Box 140F, Beaver Dam Road","Frankford","19975","RR 1 Box 140F, Beaver Dam Road","Frankford, DE 19975"
"Colonial","Delaware Education Reclamation Project School","Mr. Marcus H Wilson","derpschool@excite.com","318 West 36th Street","Wilmington","197204214","318 West 36th Street","Wilmington, DE 19720-4214"
"Red Clay","All Saints Catholic School","Diana Thompson","dthompson@ascsde.org","907 New Road","Wilmington","19805","907 New Road","Wilmington, DE 19805"
"Brandywine","Educational Service Learning Center","Tina Maida Masington","edserv@aol.com","1701 Augustine Cut-Off, #11","Wilmington","19809","1701 Augustine Cut-Off, #11","Wilmington, DE 19809"
"Christina","Edu-Care Preschool and Daycare","Nada Horne","educareh@aol.com","345 Polly Drummond Hill Road","Newark","198014499","345 Polly Drummond Hill Road","Newark, DE 19801-4499"
"Red Clay","Saint Mary's Early Ed Program","Karen Rombach","eep@stmaryoftheassumption.com","7200 Lancaster Pike","Hockessin","19805","7200 Lancaster Pike","Hockessin, DE 19805"
"Appoquinimink","Goddard School (The)","Shannon Moody","Goddardd425@gmail.com","100  Patriot Drive","Middletown","197304010","100  Patriot Drive","Middletown, DE 19730-4010"
