"County Name","School name","Street","City","State","Zip","Physical Street","Physical City","Physical State","Physical Zip","Administrator Name","Administrator Title","Grade Start","Grade End","Phone","Fax","Email"
"Grundy","Timothy Christian School",,"Wellsburg","Iowa","50680","18000 D Ave","Wellsburg","Iowa","50680","Janna Voss","Principal","01","08","6418693679","6418693510","jlvoss@iowatelecom.net"
"Kossuth","Bishop Garrigan Schools","1224 N Mc Coy","Algona","Iowa","50511","1224 N Mc Coy","Algona","Iowa","50511","Eugene Meister","President","09","12","5152953521","5152957739","meisterg2000@yahoo.com"
"Kossuth","Seton Grade School","808 E Lucas St","Algona","Iowa","50511","808 E Lucas St","Algona","Iowa","50511","Kathleen Froehlich","Principal","PK","08","5152953509","5152955688","froehlichk@garrigan.pvt.k12.ia.us"
"Kossuth","Bishop Garrigan High School","1224 N Mc Coy","Algona","Iowa","50511","1224 N Mc Coy","Algona","Iowa","50511","Michael Stence","Principal","09","12","5152953521","5152957739","stencem@garrigan.pvt.k12.ia.us"
"Allamakee","St Patrick School","200 2nd St. SW","Waukon","Iowa","52172","200 2nd St. SW","Waukon","Iowa","52172","Richard Wede","Principal","PK","06","5635682415","5635682170","rwede@st-pats.pvt.k12.ia.us"
"Story","St Cecilia School","2900 Hoover Ave","Ames","Iowa","50010","2900 Hoover Ave","Ames","Iowa","50010","Brandt Snakenberg","Principal","PK","05","5152325290","5152336423","bstakenberg@stceciliaschoolames.org"
"Jones","St Patrick School","216 N Garnavillo St","Anamosa","Iowa","52205","216 N Garnavillo St","Anamosa","Iowa","52205","Charlotte Scheckel","Principal","PK","06","3194622688","3194623239","cscheckel@stpat-anamosa.pvt.k12.ia.us"
"Polk","Ankeny Christian Academy Elementary","1604 W 1st Street","Ankeny","Iowa","50023-2525","1604 W 1st Street","Ankeny","Iowa","50023-2525","Joyce Hansen","Principal","K","06","5159658114","5159658210","joyce.hansen@ankenychristianacademy.com"
"Jackson","Marquette Catholic School System","502 Franklin Street","Bellevue","Iowa","52031","502 Franklin Street","Bellevue","Iowa","52031","James Squiers","Principal","PK","12","5638723356","5638723285","dbqe04@arch.pvt.k12.ia.us"
"Jackson","St Josephs Elementary","403 Park St","Bellevue","Iowa","52031","403 Park St","Bellevue","Iowa","52031","James P. Squiers","Principal","PK","08","5638723284","5638723285","DBQE04@arch.pvt.k12.ia.us"
"Jackson","Marquette High School","502 Franklin St","Bellevue","Iowa","52031","502 Franklin St","Bellevue","Iowa","52031","James P. Squiers","Principal","09","12","5638723356","5638723285","DBQE04@arch.pvt.k12.ia.us"
"Benton","Central Lutheran School","310 3rd St W","Newhall","Iowa","52315-0190","310 3rd St W","Newhall","Iowa","52315-0190","Janet S. Doellinger","Principal","PK","08","3192235271","3192235257","jdoellinger@centrallutheranschool.org"
"Scott","Lourdes Catholic School","1453 Mississippi Blvd","Bettendorf","Iowa","52722","1453 Mississippi Blvd","Bettendorf","Iowa","52722","Katie Selden","Principal","PK","08","5633593466","5638231595","kselden@lourdes.pvt.k12.ia.us"
"Boone","Sacred Heart School","1111 Marshall","Boone","Iowa","50036","1111 Marshall","Boone","Iowa","50036","Kimberly Graven","Principal","K","08","5154324124","5154325280","kgraven@shboone.com"
"Boone","Trinity Lutheran School","712 12th St","Boone","Iowa","50036","712 12th St","Boone","Iowa","50036","Jeff Fick","Principal","PK","08","5154326912","5154321059","telcs@q.com"
"Sioux","Hull Christian School","1301 5th St","Hull","Iowa","51239","1301 5th St","Hull","Iowa","51239","Randy Ten Pas","Principal","PK","08","7124392273","7124391713","rtenpas@hullchristian.com"
"Sioux","Hull Protestant Reformed Christian School","218 2nd St","Hull","Iowa","51239","218 2nd St","Hull","Iowa","51239","Peter D. Brummel","Principal","K","08","7124392490","7124392490","hullprcs@mtcnet.net"
"Sioux","Western Christian High School","925 5th St","Hull","Iowa","51239","925 5th St","Hull","Iowa","51239","Glenn L. Schaap","Principal","09","12","7124391013","7124391407","gschaap@w-christian.pvt.k12.ia.us"
"Hancock","Kanawha Christian School","470 E 5th St","Kanawha","Iowa","50447","470 E 5th St","Kanawha","Iowa","50447","Stan Vanden Berg","Principal","PK","08","6417623322","6417628362","svb@mtcnet.net"
"Des Moines","Burlington Notre Dame Schools","702 S Roosevelt Avenue","Burlington","Iowa","52601","702 S Roosevelt Avenue","Burlington","Iowa","52601","Ron Glasgow","Principal","PK","12","3197548431","3197528690","ron.glasgow@gpaea.k12.ia.us"
"Des Moines","Notre Dame High School","702 S Roosevelt Ave","Burlington","Iowa","52601","702 S Roosevelt Ave","Burlington","Iowa","52601","Ron Glasgow","Principal","06","12","3197548431","3197528690","ron.glasgow@gpaea.k12.ia.us"
"Des Moines","Notre Dame Elementary School","700 S Roosevelt Ave","Burlington","Iowa","52601","700 S Roosevelt Ave","Burlington","Iowa","52601","Robert Carr","Principal","PK","05","3197548431","3197528690","bob.carr@gpaea.k12.ia.us"
