" School Name "," Accrediting Association  "," Street Address  "," City  "," ZIP  "," Email  "," Phone  "," FAX  "
" Anchored Christian School "," AACS  "," 1807 Cave Mill Road  "," Bowling Green  "," 42104  "," acs@anchoredchristian.com  "," (270) 781-9077  "," (270) 781-8122  "
" Appalachian Christian Academy "," NAD  "," 168 SDA School Road  "," Manchester  "," 40962  "," debbiebrock@gmail.com  "," (606) 598-5427  "," (606) 599-1187  "
" Ascension Elementary "," AdvancEd  "," 4600 Lynnbrook Drive  "," Louisville  "," 40220  "," mellis@ascension-parish.com  "," (502) 451-2535  "," (502) 451-2535  "
" Assumption High School "," SACS  "," 2170 Tyler Lane  "," Louisville  "," 40205  "," becky.henle@ahsrockets.org  "," (502) 458-9551  "," (502) 454-8411  "
" Barkley Elementary "," SACS  "," 4720 Polk Road  "," Ft. Campbell  "," 42223  "," campbell.superintendent@am.dodea.edu  "," (270) 439-3795  "," (270) 439-1901  "
" Barsanti Elementary "," SACS  "," 7409 McAuliffe Loop, Bldg. 7  "," Ft. Campbell  "," 42223  "," campbell.superintendent@am.dodea.edu  "," (270) 640-1213  "," (931) 431-0519  "
" Beth Haven Christian School "," ACSI  "," 5515 Johnsontown Road  "," Louisville  "," 40272  "," jbailey@bethhaven.com,  "," (502) 937-3516  "," (502) 937-3364  "
" Bethlehem High School "," AdvancEd  "," 309 West Stephen Foster  "," Bardstown  "," 40004  "," thamilton@bethlehemhigh.org  "," (502) 348-8594  "," (502) 349-1247  "
" Bishop Brossart High School "," SACS  "," 4 Grove Street  "," Alexandria  "," 41001  "," rstewart@bishopbrossart.org  "," (859) 635-2108  "," (859) 635-2135  "
" Blessed Sacrament Elementary "," KNPSC  "," 2407 Dixie Highway  "," Ft Mitchell  "," 41017  "," mhannon@bssky.org  "," (859) 331-3062  "," (859) 344-7323  "
" Blue Grass Baptist School "," KNPSC  "," 3743 Red River Drive  "," Lexington  "," 40517  "," pritchey@bluegrassbaptist.com  "," (859) 272-1217  "," (859) 273-8658  "
" Bluegrass Christian School "," KNPSC  "," 211 Pin Oak  "," Richmond  "," 40475  "," mr.bondurant@bcsky.org  "," (859) 624-3083  "," (859) 624-3083  "
" Bowling Green Christian Academy "," ACSI  "," 1730 Destiny Lane  "," Bowling Green  "," 42104  "," bgca@bgcaky.com  "," (270) 782-9552  "," (270) 782-9585  "
" Calvary Christian School "," ACSI  "," 5955 Taylor Mill Road  "," Covington  "," 41015  "," laurie.switzer@calvarychristianky.org  "," (859) 356-9201  "," (859) 356-8962  "
" Capital Day School "," ISACS  "," 120 Deepwood Road  "," Frankfort  "," 40601  "," maryjane.jones@capitaldayschool.net  "," (502) 227-7121  "," (502) 227-7558  "
" Chance School "," ISACS  "," 4200 Lime Kiln Lane  "," Louisville  "," 40222  "," margaret@chanceschool.org  "," (502) 425-6904  "," (502) 326-5462  "
" Christ the King Elementary "," KNPSC  "," 412 Cochran Road  "," Lexington  "," 40502  "," kthomas@ctkschool.cdlex.org  "," (859) 266-5641  "," (859) 266-4547  "
" Christ the King Elementary "," KNPSC  "," 1500 Kingsway Dr.  "," Madisonville  "," 42431  "," christschool@bellsouth.net  "," (270) 821-8271  "," (270) 825-9394  "
" Christian Academy of Lawrenceburg "," KNPSC  "," 1631 US 127 Bypass South  "," Lawrenceburg  "," 40342  "," s.bowman@christianacademylawrenceburgky.org  "," (502) 839-9992  "," (502) 839-3728  "
" Christian Academy of Louisville Elem Eng Station "," ACSI/SACS  "," 700 South English Station Rd  "," Louisville  "," 40245  "," rthompson@christianacademyschools.org  "," (502) 244-3225  "," (502) 244-1824  "
" Christian Academy of Louisville Elem Rock Creek "," ACSI/SACS  "," 3110 Rock Creek Drive  "," Louisville  "," 40207  "," mthomas@christianacademyschools.org  "," (502) 897-3372  "," (502) 897-3207  "
" Christian Academy of Louisville HS Eng Station "," ACSI/SACS  "," 700 S English Sta Rd  "," Louisville  "," 40245  "," lrafla@christianacademyschools.org  "," (502) 244-3225  "," (502) 244-1824  "
" Christian Academy of Louisville MS Eng Station "," ACSI/SACS  "," 700 S English Station Rd  "," Louisville  "," 40245  "," gmounce@christianacademyschools.org  "," (502) 244-3225  "," (502) 244-1824  "
" Christian Academy of Louisville SW Campus "," ACSI/SACS  "," 8307 St. Andrews Church Road  "," Louisville  "," 40258  "," kschooling@christianacademyschools.org  "," (502) 447-6500  "," (502) 447-6508  "
" Christian Fellowship School "," ICAA  "," 1343 US Hwy. 68 East  "," Benton  "," 42025  "," browley@christianfellowship.org  "," (270) 527-8377  "," (270) 527-2872  "
" Clark County Christian School "," ACSI  "," 2450 Colby Road  "," Winchester  "," 40391  "," kristy.marcum@clarkchristian.org  "," (859) 745-6555  "," (859) 745-9502  "
" Community Christian Academy "," ICAA  "," 11875 Taylor Mill Road  "," Independence  "," 41051  "," tara.bates@ccaky.org  "," (859) 356-7990  "," (859) 356-7991  "
" Community Christian Academy "," KNPSC  "," 3230 Buckner Lane  "," Paducah  "," 42001  "," galegrisham@ccapaducah.org  "," (270) 575-0025  "," (270) 443-2230  "
