"District","School Name","Principals Name","Email","Address","City","State","Zip","Phone","Fax","Grade"
"City of Monroe","Our Lady of Fatima School (C)","Michele  Palowsky ","mpalowsky@fatimaschool.org","3202 Franklin Street","Monroe                   ","LA","71201","3183871851","3183877593","PK3,PK4,K-6"
"Caddo Parish","St. Joseph School (C)","Susan  Belanger ","sbelanger@sjsfalcons.org","1210 Anniston Avenue","Shreveport               ","LA","71105","3188653585","3188681859","PK3,PK4,K-8"
"Caddo Parish","St. John Berchmans Cathedral School (C)","Josephine  Cazes ","gtombrello@sjbcathedralschool.org","947 Jordan Street","Shreveport               ","LA","71101","3182216005","3184250648","PK3,PK4,K-8"
"City of Monroe","St. Frederick High School (C)","Guy  Farber ","gfarber@stfrederickhigh.org","3300 Westminster Avenue","Monroe                   ","LA","71201","3183239636","3183237456","7-12"
"City of Monroe","Jesus Good Shepherd School (C)","Lisa  Patrick ","lpatrick@jesusgoodshepherd.org","900 Good Shepherd Lane","Monroe                   ","LA","71201","3183258569","3183259730","PK3,PK4,K-6"
"Caddo Parish","Loyola College Preparatory School (C)","Frank  Israel Jr.","fisrael@loyolaprep.org","921 Jordan Street","Shreveport               ","LA","71101","3182212675","3182266325","9-12"
"Avoyelles Parish","St. Mary's Assumption School, Cottonport (C)","Nathan Peter Laborde ","smsangels2@gmail.com","P.O. Box 309","Cottonport               ","LA","71327","3188763651","3188762955","PK3,PK4,K-8"
"Rapides Parish","Holy Savior Menard Central High School (C)","Joel  Desselle ","jdesselle@holysaviormenard.com","4603 Coliseum Boulevard","Alexandria               ","LA","71303","3184458233","3184488170","7-12"
"Avoyelles Parish","St. Joseph Elementary & High School (C)","Brother Andre M. Lucia, F.S.E. ","sjschool99@gmail.com","P.O. Box 59","Plaucheville             ","LA","71362","3189223401","3189223776","PK4,K-12"
"Rapides Parish","St. Frances Cabrini School (C)","Father Jose  Robles-Sanchez ","frjose@cabrinichurch.com","2215 East Texas Avenue","Alexandria               ","LA","71301","3184483333","3184483343","PK3,PK4,K-6"
"Avoyelles Parish","St. Anthony of Padua School (C)","Martha  Coulon ","sassecure@bellsouth.net","116 South Knoll Street","Bunkie                   ","LA","71322","3183462739","3183469191","PK4,K-8"
"Rapides Parish","Our Lady of Prompt Succor School (C)","Johanna F. M. Tassin ","olpsoffice@promptsuccor.org","420 21st Street","Alexandria               ","LA","71301","3184871862","3184739321","PK3,PK4,K-6"
"Natchitoches Parish","St. Mary's Elementary & High School (C)","Phyllis M. Scott ","smsprincipal@cp-tel.net","P. O. Box 2070","Natchitoches             ","LA","71457","3183528394","3183525798","PK3,PK4,K-12"
"Avoyelles Parish","Sacred Heart School (C)","Sister Sandra  Norsworthy ","sacredheart@kricket.net","P. O. Box 179","Moreauville              ","LA","71355","3189852772","3189852164","PK4,K-8"
"East Baton Rouge Parish","Catholic Junior High School (Boys) (C)","Thomas W.  Eldringhoff ","teldringhoff@catholichigh.org","855 Hearthstone Drive","Baton Rouge              ","LA","70806","2253830397","2253830381","8-9"
"Iberville Parish","St. John Elementary School (C)","Bernardine  Legendre ","stjohnelem@csobr.org","58645 St. Clement Street","Plaquemine               ","LA","70764","2256876616","2256876280","PK3,PK4,K-6"
"Tangipahoa Parish","St. Joseph School (C)","Gerard  Toups PhD","sjsoffice@sjscrusaders.org","175 North Eighth Street","Ponchatoula              ","LA","70454","9853866421","9853860560","PK4,K-8"
"East Baton Rouge Parish","St. Joseph's Academy (Girls) (C)","Linda  Harvison ","stjosephacademy@csobr.org","3015 Broussard Street","Baton Rouge              ","LA","70808","2253837207","2253445714","9-12"
"Ascension Parish","St. Theresa Middle School (C)","Christine  Musso ","chrismusso@sjp-sta.org","212 East New River Street","Gonzales                 ","LA","70737","2256472803","2256477814","4-8"
