"Schools Name","Address","Address2 ","City","City 2","Zip","Zip 2","Area","Title","Principal","First","Last","Email","Phone","Fax","Grades"
"Academy of Sacred Heart","1250 KENSINGTON RD","1250 KENSINGTON RD","BLOOMFIELD HILLS","BLOOMFIELD HILLS","48304-3029","48304-3029","Bloomfield Hills","Sr.","Bridget Bearss","Bridget","Bearss","ddecker@ashmi.org","2486468900",,"KG-Part, 1-12, GenEd, PK"
"Ada Christian School","6206 ADA DR SE","6206 ADA DR SE","ADA","ADA","49301-7400","49301-7400","Forest Hills","Ms.","Melissa Brower","Melissa","Brower","mbrower@adachristian.org","6166761289","6166769216","KG-Part, 1-8, GenEd, PK"
"Adams Christian School","5539 BYRON CENTER AVE SW","5539 BYRON CENTER AVE SW","WYOMING","WYOMING","49519-9603","49519-9603","Grandville","Mr.","Rick Mingerink","Rick","Mingerink","adamsprcs@comcast.net","6165310748","6165315172","KG-Part, 1-9, GenEd,PK,SpecEd"
"Adelphian Junior Academy","PO Box 208, 740 Academy Road","740 ACADEMY RD","Holly","HOLLY","48442-0208","48442-1544","Holly","Ms.","Nancy Danelson","Nancy","Danelson","bdavis@misda.org","2486349481","5173161559","KG-Part, 1-10, GenEd, PK"
"Aim High School","11648 N MAIN ST","11648 N Main St","WHITMORE LAKE","Whitmore Lake","48189-9117","48189-9117","Whitmore Lake","Mr.","Michael Earls","Michael","Earls","mearls@aimhighschool.com","7345509595","7345509590","9-11, GenEd"
"Akiva Hebrew Day School","21100 WEST 12 MILE RD","21100 WEST 12 MILE RD","SOUTHFIELD","SOUTHFIELD","48076-2393","48076-2393","Southfield","Rabbi","Tzvi Klugerman","Tzvi","Klugerman","marymonica43@hotmail.com","2483861625","2483861632","KG-Part, 1-12, GenEd, PK"
"Algoma Christian School","PO Box 220","14471 SPARTA AVE","Kent City","KENT CITY","49330-0220","49330-9728","Kent City","Mr.","Terrence Yoder","Terrence","Yoder","tyoder@algomachristian.net","6166787480","6166787484","KG-Part, 1-12, GenEd, PK"
"All Saints Academy Elementary","2233 DIAMOND AVE NE","2233 DIAMOND AVE NE","GRAND RAPIDS","GRAND RAPIDS","49505-4313","49505-4313","Grand Rapids","Mrs.","Anne Harpold","Anne","Harpold","aharpold@asagr.org","6163637725","6163633086","KG-Part,1-8, GenEd, PK"
"All Saints Academy Middle","1110 4 MILE RD NE","1110 4 MILE RD NE","GRAND RAPIDS","GRAND RAPIDS","49525-2653","49525-2653","Grand Rapids","Mrs.","Anne Harpold","Anne","Harpold","aharpold@asagr.org","6163637725","6163633086","5-8, GenEd"
"All Saints Catholic Academy","106 SOUTH MARQUETTE ST","106 SOUTH MARQUETTE ST","IRONWOOD","IRONWOOD","49938-2060","49938-2060","Ironwood","Mr.","Mark Salisbury","Mark","Salisbury","msalisbury@dioceseofmarquette.org","9069323200","9069321019","KG-Part, 1-6, GenEd, PK"
"All Saints Catholic School","500 NORTH SECOND AVE","500 NORTH SECOND AVE","ALPENA","ALPENA","49707-2340","49707-2340","Alpena","Ms.","Nicole Hatch","Nicole","Hatch","allsaints@speednetllc.com","9893544911","9893543918","KG-Part, 1-6, GenEd, PK"
"All Saints Catholic School","48735 WARREN RD","48735 WARREN RD","CANTON","CANTON","48187-1216","48187-1216","Plymouth-Canton","Ms.","Kristen Strausbaugh","Kristen","Strausbaugh","ascs9@hotmail.com","7344592490","7344590981","KG-Part, 1-8, GenEd, PK, SpecEd"
