"DISTRICT","NON-PUBLIC SCHOOLS","RELIGIOUS_AFFILIATION","PRINCIPAL","Address","State and zip","Phone","EMAIL"
"1601","FAITH LUTHERAN  SCHOOL ","LUTHERAN ","Fouch,  Janie ","1820 SOUTH BALTIMORE  KIRKSVILLE","MO  63501 ","(660) 627-101 ","faithlutherankids@yahoo.com "
"4400","ST BRENDANS SCHOOL ","Catholic ","Gleeson,  William ","620 S CLARK ST  MEXICO  MO","652650000","(573) 581-2571 ","bgleeson@saintbrendans.org "
"4402","ST JOSEPHS SCHOOL ","CATHOLIC ","Robnett,  Kathleen ","401 E KELLETT ST  MARTINSBURG  MO","65264-2011 ","(573) 492-6346 ","krobnett@stjosephmb.org "
"4405","SUNNYDALE ACADEMY ","SEVENTH-DAY ADVENTIST ","Russell,  Gary ","6818 AUDRAIN ROAD 9139  CENTRALIA","MO  65240 ","(573) 682-3136 ","grussell@sunnydale.org "
"7400","ZION LUTHERAN SCHOOL ","LUTHERAN ","WALLING,  JOAN ","RR1 BOX 31  ROCKVILLE","MO  64780 "," ","ZIONLUTHERANSCHOOL@LIVE.COM "
"8400","LUTHERAN SCHOOL ASSN ","LUTHERAN ","Andersen,  Larry  ","204 E BUTTERFIELD   COLE CAMP  MO","653250000","(660) 668-2456 ","office@lsaschool.com "
"9601","NEW SALEM BAPTIST ACADEMY ","OTHER RELIGION ","Wray,  Linda ","HCR 64 BOX 4220  MARBLE HILL","MO  63764 ","(573) 238-1107 ","lwray@dishmail.net "
"10402","OUR LADY OF LOURDES ","CATHOLIC ","KIRK,  PATRICIA ","817 BERNADETTE Drive  COLUMBIA  MO","652031066","(573) 445-9887 ","PKIRK@CCSK8.ORG "
"10411","COLLEGE PARK CHRISTIAN ACADEMY ","Seventh-Day Adventist ","Blcackburn,  Sandra  ","1114 College Park Drive  Columbia","MO  65203 ","(573) 445-6113 ","colsda@gmail.com "
"10412","CHRISTIAN CHAPEL ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","Morgan,  Art ","3300 S Providence Rd  Columbia","MO  65203 ","(573) 443-5037 ","morgana@cca-columbia.com "
"10503","WINDSOR STREET MONTESSORI SCHL ","OTHER PRIVATE SCHOOL ","Windmiller,  Mary ","1616 WINDSOR ST  COLUMBIA","MO  65201 "," ","windsorstreetmontessorischool@gmail.com "
"10607","CHRISTIAN FELLOWSHIP SCHOOL ","Christian-Nondenominational ","Williams,  Scott ","4600 Christian Fellowship Rd.  Columbia  MO","65203-0274 ","(573) 445-8564 ","rmueller@cfsknights.org "
"10613","ISLAMIC SCHOOL OF COLUMBIA ","OTHER RELIGION ","ISLAM,  AMINUL ","PO Box 92  COLUMBIA","MO  65205 ","(800) 531-8816 ","ISCMSCHOOL@GMAIL.COM "
"11407","ST FRANCIS XAVIER SCHOOL ","CATHOLIC ","POLLARD,  DARIN ","2614 SENECA ST  ST JOSEPH","MO  64507 ","(816) 364-263 ","DPOLLARD@SFXSTJOE.COM "
"11409","ST JAMES SCHOOL ","CATHOLIC ","SCALARD,  SUSAN ","120 MICHIGAN  ST JOSEPH  MO","645040000","(816) 238-1758 ","sscalard@kc.rr.com "
"11432","BISHOP LEBLOND ","CATHOLIC ","HAYNES,  SOLON ","3529 FREDERICK AVE  ST. JOSEPH","MO  64506 ","(816) 279-5488 ","SHAYNES@BISHOPLEBLONDHS.COM "
"11605","ST PAUL LUTHERAN SCHOOL ","LUTHERAN ","PISTER,  RONNIE ","4715 FREDERICK  ST. JOSEPH","MO  64506 ","(816) 279-1114 ","RJP@SPLCC.ORG "
"12400","SACRED HEART SCHOOL ","Catholic ","Kuper,  Janet  ","111 N. 8th  POPLAR BLUFF  MO","639010000","(573) 785-3908 ","jkuper@CatholicWeb.com "
"14401","ST PETERS SCHOOL ","CATHOLIC ","NEWMAN,  CYNTHIA ","700 STATE ROAD Z  FULTON","MO  65251 ","(573) 642-2839 ","mrscnewman@sbcglobal.net "
"14405","KINGDOM CHRISTIAN ACADEMY ","CHRISTIAN-NONDENOMINATIONAL ","Taylor,  Ann ","650 E. 8TH ST.  FULTON","MO  65251 ","(573) 642-2022 ","kca1995@hotmail.com "
"16400","ST MARYS SCHOOL ","CATHOLIC ","STRATTMAN,  CAROL ","210 S SPRIGG ST  CAPE GIRARDEAU  MO","637030000","(573) 335-4142 ","CAROLS@SHOWME.NET "
"16401","ST VINCENT ELEM SCHOOL ","CATHOLIC ","GLASTETTER,  KAY ","1919 RITTER DR  CAPE GIRARDEAU  MO","637010000","(573) 334-425 ","KGLASTETTER@SVCAPE.COM "
"16404","TRINITY LUTHERAN SCHOOL ","LUTHERAN ","MAURER,  DIANE ","55 N PACIFIC  CAPE GIRARDEAU  MO","637010000","(573) 334-5081 ","DMAURER@T-LUTHERANSCHOOL.ORG "
"16406","IMMACULATE CONCEPTION SCHOOL ","CATHOLIC ","Huffman,  MIchele ","300 SOUTH HOPE  JACKSON  MO","637550000","(573) 243-7216 ","mhuffmanics@yahoo.com "
"16411","CAPE CHRISTIAN SCHOOL ","CHRISTIAN-NONDENOMINATIONAL ","SMART,  BEVERLY  ","1855 PERRYVILLE RD  CAPE GIRARDEAU  MO","637010000","(573) 335-3161 ","PRINCIPAL@CAPECHRISTIAN.ORG "
"24400","ST GABRIEL SCHOOL ","CATHOLIC ","MARSH,  JUDY ","4737 NORTH CLEVELAND  KANSAS CITY  MO","641170000","(816) 453-6254 ","JDYMRSH@AOL.COM "
"24404","ST JAMES SCHOOL ","CATHOLIC ","DOHERTY,  MOLLY ","309 S STEWART RD  LIBERTY","MO  64068 ","(816) 781-747 ","MOLLY.DOHERTY@STJAMES-SCHOOL.ORG "
"24405","ST PATRICKS SCHOOL ","CATHOLIC ","HESS,  JULIE ","1401 N E 42ND TERR  KANSAS CITY  MO","64116-2298 ","(816) 453-5451 ","JUPITER4792@HOTMAIL.COM "
"24603","ST. ANDREW'S ","CATHOLIC ","Winkler,  Wayne  ","6415 NE ANTIOCH ROAD  GLADSTONE","MO  64119 ","(816) 456-6393 ","wwinkler@sataps.com "
"24606","ST PIUS X HIGH SCHOOL - KC ","CATHOLIC ","MONACHINO,  JOSEPH ","1500 NE 42ND TERRACE  KANSAS CITY","MO  64116 ","(816) 452-7099 ","JMONACHINO@STPIUSXHS-KC.COM "
"24610","MARTIN LUTHER ACADEMY ","LUTHERAN ","SCHNEIDER,  RICHARD ","7112 N. Overland Drive  Kansas City","MO  64151 ","(816) 734-485 ","PRINCIPAL@MARTINLUTHERACADEMY.ORG "
"24611","NORTHERN HILLS CHRISTIAN ACAD ","CHRISTIAN-NONDENOMINATIONAL ","Simmons,  Cheryl ","17211 N. E. 180TH ST  HOLT","MO  64048 ","(816) 320-3226 ","nhcasec@nhcapatriots.com "
