"ADMINISTRATOR","NAME","CITY","ADDRESS1","STATE","ZIP","PHONE","FAX","COUNTY","Name","Email"
"ADMINISTRATOR","ST CECILIA HIGH SCHOOL","HASTINGS","521 N KANSAS","NE","68901-7594","(402)462-2105","(402)462-2106","ADAMS","Lee Jirovsky","Fr.Lee-Jirovsky@cdolinc.net"
"ADMINISTRATOR","ST CECILIA MIDDLE SCHOOL","HASTINGS","521 N KANSAS","NE","68901-7594","(402)462-2105","(402)462-2106","ADAMS","Lee Jirovsky","Fr.Lee-Jirovsky@cdolinc.net"
"ADMINISTRATOR","CHRIST LUTHERAN ELEMENTARY SCH","JUNIATA","13175 W 70TH ST","NE","68955-2138","(402)744-4991","(402)744-4971","ADAMS","Jim House","jhouse@christjuniata.org"
"ADMINISTRATOR","ST MICHAEL ELEMENTARY SCHOOL","HASTINGS","721 CREIGHTON AVE","NE","68901-7594","(402)462-6310","(402)462-6035","ADAMS","Hedwig Kortte","Sr.Hedwig-Kortte@cdolinc.net"
"ADMINISTRATOR","ST BONIFACE ELEMENTARY SCHOOL","ELGIN",,"NE","68636-0433","(402)843-5460","(402)843-5842","ANTELOPE","Betty Getzfred","bgetzfre@esu8.org"
"ADMINISTRATOR","POPE JOHN XXIII HIGH SCHOOL","ELGIN","303 REMINGTON ST","NE","68636-0179","(402)843-5325","(402)843-2297","ANTELOPE","Betty Getzfred","bgetzfre@esu8.org"
"ADMINISTRATOR","ST AGNES ACADEMY","ALLIANCE","1104 CHEYENNE","NE","69301-2527","(308)762-2315","(308)762-7474","BOX BUTTE","Theresa Parker ","tparker@stagnesacademy.com"
"ADMINISTRATOR","KEARNEY CATHOLIC HIGH SCHOOL","KEARNEY",,"NE","68848-1866","(308)234-2610","(308)234-4986","BUFFALO","Dave Cantral","kchsf@frontiernet.net"
"ADMINISTRATOR","ZION LUTHERAN ELEMENTARY SCH","KEARNEY","2421 AVE C","NE","68847-0778","(308)234-3410","(308)236-8100","BUFFALO","Anthony Splittgerber","principal@zelcs.org"
"ADMINISTRATOR","FAITH CHRISTIAN ELEM/KEARNEY","KEARNEY",,"NE","68848-3048","(308)236-8744",,"BUFFALO","Titus Staples","tstaples@fcskearney.org"
"ADMINISTRATOR","ST MARY'S ELEMENTARY SCHOOL","DAVID CITY","1026 5TH ST","NE","68632-1299","(402)367-3669","(402)367-3703","BUTLER","Carm Fiala","cfiala@esu7.org"
"ADMINISTRATOR","AQUINAS MIDDLE SCHOOL","DAVID CITY","3420 MN ROAD","NE","68632-0149","(402)367-3175","(402)367-3176","BUTLER","Carm Fiala","cfiala@esu7.org"
"ADMINISTRATOR","AQUINAS HIGH SCHOOL","DAVID CITY","3420 MN ROAD","NE","68632-0149","(402)367-3175","(402)367-3176","BUTLER","David G. McMahon","dmcmaho@esu7.org"
"ADMINISTRATOR","WEST CATHOLIC ELEMENTARY SCH","FORDYCE","303 OMAHA ST","NE","68736-0167","(402)357-3507","(402)357-3551","CEDAR","Marilyn Wiebelhaus","mkwiebelhaus@archomaha.org"
"ADMINISTRATOR","HOLY TRINITY ELEMENTARY SCHOOL","HARTINGTON","502 S BROADWAY","NE","68739-0278","(402)254-6496","(402)254-3976","CEDAR","Terry Kathol","tkathol@esu1.org"
"ADMINISTRATOR","CEDAR CATHOLIC HIGH SCHOOL","HARTINGTON","401 S BROADWAY","NE","68739-0015","(402)254-3906","(402)254-3976","CEDAR","Terry Kathol","tkathol@esu1.org"
"ADMINISTRATOR","ZION LUTHERAN ELEMENTARY SCH","VALENTINE","224 N GOVERNMENT ST","NE","69201-1924","(402)376-2745","(402)376-2720","CHERRY","Matthew Krenke","zionvalentine@msn.com"
"ADMINISTRATOR","GUARDIAN ANGELS ELEMENTARY SCH","WEST POINT","408 E WALNUT ST","NE","68788-1598","(402)372-5328","(402)372-3563","CUMING","Matthew Richardson","info@gacatholicschool.org"
"ADMINISTRATOR","WESTPOINT CENTRAL CATHOLIC HS","WEST POINT","419 E DECATUR","NE","68788-1597","(402)372-5326","(402)372-5327","CUMING","Matthew Richardson","mrichardson@gaccbluejays.org"
"ADMINISTRATOR","ST PAUL LUTHERAN ELEM SCHOOL","WEST POINT","325 N COLFAX","NE","68788-1426","(402)372-2355","(402)372-2742","CUMING","Kari Penrose","stpaulschool@q.com"
"ADMINISTRATOR","PRAIRIE VIEW S D A SCHOOL","CHADRON","602 BORDEAUX ST","NE","69337-2611","(308)432-4228","(308)432-6517","DAWES","Carlene Lang","pvas@bbc.net"
"ADMINISTRATOR","ST WENCESLAUS ELEM SCHOOL","DODGE","212 N LINDEN ST","NE","68633-3519","(402)693-2819","(402)693-2819","DODGE","Carol Ortmeier","clortmeier@archomaha.org"
"ADMINISTRATOR","ARCHBISHOP BERGAN ELEMENTARY","FREMONT","1515 N JOHNSON ROAD","NE","68025-5105","(402)721-9766","(402)721-1180","DODGE","Ron Beacom","ronbeacom@yahoo.com"
"ADMINISTRATOR","ARCHBISHOP BERGAN HIGH SCH","FREMONT","545 E 4TH ST","NE","68025-5105","(402)721-9683","(402)721-5366","DODGE","Ron Beacom","ronbeacom@yahoo.com"
"ADMINISTRATOR","ARCHBISHOP BERGAN MIDDLE SCH","FREMONT","545 E 4TH ST","NE","68025-5105","(402)721-9683","(402)721-5366","DODGE","Ron Beacom","ronbeacom@yahoo.com"
"ADMINISTRATOR","LEGACY PRIMARY SCHOOL","OMAHA","2207 N 168TH AVENUE","NE","-68116","(402)884-2242","(402)884-2230","DOUGLAS","Buffy Baca ","bacab@legacyprimary.com"
"ADMINISTRATOR","MADONNA SCHOOL","OMAHA","6402 N 71ST PLAZA","NE","68104-4615","(402)556-1883","(402)556-7332","DOUGLAS","Bill Goodwin","bgoodwin@madonnaschool.org"
"ADMINISTRATOR","ST JAMES-SETON ELEMENTARY SCH","OMAHA","4720 N 90TH STREET","NE","68134-2796","(402)572-0339","(402)572-0347","DOUGLAS","Mrs. Arnold","carnold@sjsomaha.org"
"ADMINISTRATOR","RONCALLI CATHOLIC HIGH SCHOOL","OMAHA","6401 SORENSEN PARKWAY","NE","68152-2241","(402)571-7670","(402)571-3216","DOUGLAS","Chad Holtz","choltz@roncallicatholic.org"
"ADMINISTRATOR","ST GERALD ELEMENTARY SCHOOL","RALSTON","7857 LAKEVIEW ST","NE","68127-2832","(402)331-4223","(402)331-4523","DOUGLAS","Dave Garland","dgarland@stgerald.org"
