" School Name  ","Principals Name","First","Last","Principals Email"," Address  ","City","Zip","Phone","Fax"," Grade  ","Enrolment"," County  ",
" Academy for Learning  ","Tracy Yeich","Tracy ","Yeich"," tzy@cox.net  "," 1018 E. Sahara Ave. Suite D Las Vegas","Las Vegas","89104","(702)737 8668","(702)948 8676"," K-12  "," 23  "," Clark  ",,,,
" Alexander Dawson School  ","Michael Imperi","Michael ","Imperi"," mimperi@adsrm.org "," 10845 W. Desert Inn Road Las Vegas","Las Vegas","89135","(702)949 3600","(702)838 1818"," K-8  "," 609  "," Clark  ",,,,
" All Saints Day School  ","Dyan McCarthy","Dyan ","McCarthy"," allsaintsds@embarg.com "," 4201 W. Washington Avenue Las Vegas","Las Vegas","89107","(702)878 1205","(702)878 1829"," K  "," 9  "," Clark  ",,,,
" American Heritage Academy  ","Jo Ann Williams","Jo ","Ann Williams"," americanheritagelv@hotmail.com "," 6126 S. Sandhill #C Las Vegas","Las Vegas","89120","(702)949 5614 ","(702)949 0273"," K-8  "," 122  "," Clark  ",,,,
" Bethlehem Lutheran School  ","Lonnie Karges","Lonnie ","Karges"," Bethhlehemprincipal@blcs.org  "," 1837 Mountain St. Carson City","Carson City","89702","(775)882 5252 ","(775)882 9278"," K-8  "," 136  "," Carson  ",,,,
" Bishop Manogue High School  ","Tim Petersen","Tim ","Petersen"," Tim.petersen@bishopmanogue.org  "," 110 Bishop Manogue Drive Reno","Reno","89511","(775)336 6000","(775)336 6015"," 9-12  "," 677  "," Washoe  ",,,,
" Black Mountain Christian School  ","Rev. Barbara Miller","Rev. ","Barbara Miller"," blackmtschool@aol.com "," 107 S. Gibson Rd. Henderson","Henderson","89012","(702)564 2435","(702)566 0592"," K-12  "," 46  "," Clark  ",,,,
" Brookfield School   ","Katie Osgood","Katie ","Osgood"," Brookfield@gbis.com   "," 6800 S. McCarran Blvd. Reno","Reno","89509","(775)825 0257","(775)825 3463"," K-8  "," 149  "," Washoe  ",,,,
" Calvary Chapel Christian School  ","Jim Davis","Jim ","Davis"," jimdavis@ccsv.net "," 7175 W. Oquendo Road Las Vegas","Las Vegas","89113","(702)248 8879","(702)220 8694"," K-12  "," 572  "," Clark  ",,,,
" Calvary Chapel Green Valley Christian Academy  ","Vickie Seymour","Vickie ","Seymour"," vseymour@ccgreenvalley.org "," 2615 W. Horizon Ridge Pkwy. Henderson","Henderson","89052","(702)456 2422","(702)456 2515"," K-12  "," 34  "," Clark  ",,,,
" Calvary Christian Learning Academy  ","Heather McEnulty","Heather ","McEnulty"," hmcenulty@goccla.com   "," 2900 N. Torrey Pines Drive Las Vegas","Las Vegas","89108","(702)655 1385","(702)655 2932"," K-5  "," 82  "," Clark  ",,,,
" Capital Christian School  ","Keith Squires","Keith ","Squires"," ccs@capitalchristianusa.org "," 1600 Snyder Ave. Carson City","Carson City","89701","(775)883 3009","(775)883 3012"," K-12  "," 143  "," Carson  ",,,,
" Centennial Academy  ","Nancy McCormick","Nancy ","McCormick","admin@centennialacademy.com "," 6610 Grand Montecito Pkway Las Vegas","Las Vegas","89149","(702)315 3190","(702)215 0770"," K-6  "," 76  "," Clark  ",,,,
" Challenger School at Lone Mountain  ","Ashley M. Peace","Ashley ","M. Peace"," apeace@challengerschool.com "," 9900 Issac Newton Way Las Vegas","Las Vegas","89129","(702)878 6418","(702)944 1709"," K-8  "," 309  "," Clark  ",,,,
" Challenger School Silverado Campus  ","Benjamin Celver","Benjamin ","Celver"," bcelver@challengerschool.com "," 1725 E. Serene Ave. Las Vegas","Las Vegas","89123","(702)990 7300","(702)492 0063"," K-8  "," 200  "," Clark  ",,,,
" Christian Montessori Academy  ","Jincy Dean","Jincy ","Dean"," jincy@intmontessori.com "," 5580 S. Pecos Road Las Vegas","Las Vegas","89120","(702)451 5437","(702)454 7853"," K-4  "," 22  "," Clark  ",,,,
" Church Academy   ","Marilyn Poe","Marilyn ","Poe"," church@775.net   "," 1205 N. McCarren Blvd. Reno","Reno","89512","(775)329 5848","(775)329 3360"," K-12  "," 45  "," Washoe   ",,,,
" Citibank Child Care Center  ","Maritza Acevedo","Maritza ","Acevedo"," Ctb.lv@brighthorizons.com   "," 2720 Crystal Water Way Las Vegas","Las Vegas","89117","(702)256 3299","(702)242 3901"," K  "," 19  "," Clark  ",,,,
" Community Christian Academy P.O. Box 280 Pahrump, 89041  ","Renee Bell","Renee ","Bell"," mrsbell@pahrumpcc.com   "," 1061 E. Wilson Pahrump","Pahrump","89048","(775)751 9777","(775)727 7548"," K-9   "," 123  "," Nye   ",,,,
" Cornerstone Christian Academy  ","James Whiddon","James ","Whiddon"," sjackson@cornerstone-academy.com  "," 5825 W. Eldora Ave. Las Vegas","Las Vegas","89146","(702)939 5050","(702)507 0699"," K-8  "," 348  "," Clark  ",,,,
" Cumorah Academy of Las Vegas  ","April Taggart","April ","Taggart"," cumorahacademy@yahoo.com    "," 6000 W. Oakey Blvd. Las Vegas","Las Vegas","89146","(702)636 5577","(702)636 5570"," K-12  "," 170  "," Clark  ",,,,
" Desert Torah Academy  ","Rabbi Moishe Rodman","Rabbi ","Moishe Rodman"," moisherodman@hotmail.com "," 1261 S. Arville St. Las Vegas","Las Vegas","89102","(702)259 0777","(702)877 4700"," K-8  "," 129  "," Clark  ",,,,
