"Dist Name","County","School Name","Principal","First","Last","Title","Address","City","State","Zip Code","Phone","Fax","Email","School Group","Sch Type Desc","Grade Span"
"Allenstown","Merrimack","Pine Haven Boys Center","Michael Maroni","Michael","Maroni","Director","133 River Rd.","Suncook","NH","03275-0162","603-485-7141","603-485-7142","PHBC@comcast.net","Private Schools","In-State Spec Ed and Other Private","1-8 SpEd"
"Amherst","Hillsborough","Country Village Montessori School","Claire Doody","Claire","Doody","Director","2 Overlook Dr.","Amherst","NH","03031-2803","603-672-3882",,"CEDBasket@aol.com","Private Schools","Other Private Schools","K 1-6"
"Amherst","Hillsborough","RSEC (Reg Svces & Educ Ctr) - Academy","Janet Reed","Janet","Reed","Director","31 Old Nashua Rd.","Amherst","NH","03031-9999","603-673-6656","603-673-5488","jreed@rsec.org","Private Schools","In-State Private Special Education","6-12"
"Amherst","Hillsborough","RSEC (Reg Svces & Educ Ctr) - Summit School","Jan Goolbis","Jan","Goolbis","Director","31 Old Nashua Rd.","Amherst","NH","03031-9999","603-672-0001","603-732-4013","jgoolbis@rsec.org","Private Schools","In-State Private Special Education","9-12"
"Amherst","Hillsborough","RSEC (Reg Svces & Educ Ctr) - Sunrise","Nancy Gagnon","Nancy","Gagnon","Director","94 Route 101A","Amherst","NH","03031-0370","603-886-0110","603-689-7141","sunrise@rsec.org","Private Schools","In-State Private Special Education","P K "
"Andover","Merrimack","Proctor Academy","Michael Henriques","Michael","Henriques","Headmaster","204 Main St.","Andover","NH","03216-0500","603-735-6210","603-735-5129","durkinpa@proctornet.com","Private Schools","Prep School","9-12"
"Bedford","Merrimack","Mount Zion Christian School","Robert Carter","Robert","Carter","Principal","132 Titus Avenue","Manchester","NH","03103-6695","603-606-7930","603-606-7935","info@mzcs.org","Private Schools","Christian School","P K 1-12"
"Berlin","Coos","Community Bible Academy","Pastor Jon Howry","Pastor Jon","Howry","Director","593 Sullivan St.","Berlin","NH","03570-3225","603-752-4315",,"communityBibleacademy@yahoo.com","Private Schools","Christian School","K 1-9"
"Berlin","Coos","Enriched Learning Center","James Cochran","James","Cochran","Executive Director","26 Exchange St.","Berlin","NH","03570-9999","603-215-0002","603-215-0003","jcochran@enrichedlearning.net","Private Schools","In-State Spec Ed and Other Private","5-12"
"Bethlehem","Grafton","Bethlehem Christian School","Barbara Palmer","Barbara","Palmer","Principal","1858 Maple St.","Bethlehem","NH","03574-0303","603-869-5401","603-869-5401","bcs@cfaith.com","Private Schools","Christian School","4-12"
"Bethlehem","Grafton","White Mountain School","Tim Breen Jr.","Tim","Breen Jr.","Head of School","371 West. Farm Rd.","Bethlehem","NH","03574-5851","603-444-2928","603-444-1258","tim.breen@whitemountain.org","Private Schools","Other Private Schools","9-12"
"Bethlehem","Grafton","Woodland Community School","Jane Crosby","Jane","Crosby","Program Director","809 Brook Rd.","Bethlehem","NH","03574-0045","603-444-1221",,"director@woodlandcommunityschool.org","Private Schools","Other Private Schools","K 1-8"
"Brentwood","Rockingham","Brentwood Christian Academy","Lucie Cook","Lucie","Cook","Administrator","263 Rte 125","Brentwood","NH","03833-6026","603-642-3756","603-642-7845","lca0997@comcast.net","Private Schools","Christian School","K 1-12"
"Brentwood","Rockingham","Seacoast Learning Collaborative","Paul Campelia","Paul","Campelia","Executive Director","87 State Rte. 27","Brentwood","NH","03833-6618","603-679-2021","603-679-3968","slc_rdiamontopoulos@hotmail.com","Private Schools","In-State Private Special Education","1-12"
"Candia","Rockingham","Jesse Remington High School","Jeffrey Philbrick","Jeffrey","Philbrick","Headmaster","15 Stevens LN","Candia","NH","03034-0473","603-483-5664","603-483-4811","JRHS@comcast.net","Private Schools","Other Private Schools","9-12"
"Claremont","Sullivan","Claremont Christian Academy","Rev. Marc Proch","Rev. Marc","Proch","Director","97 Maple Ave.","Claremont","NH","03743-0936","603-542-8759","603-542-8759","calvary@cbcnh.org","Private Schools","Christian School","K 1-10"
"Claremont","Sullivan","New England Classical Academy","Mario Enzler","Mario","Enzler",,"18 Central St.","Claremont","NH","03743-2537","603-542-6341","603-542-9614","menzler@newenglandclassicalacademy.com","Private Schools","Other Private Schools","P K 1-12"
"Colebrook","Coos","Universal School of Life","Pierre Forest","Pierre","Forest","Director","3 Angels Rd.","Colebrook","NH","03576-3194","603-237-9949","603-237-4326","pforest@universalschooloflife.org","Private Schools","Other Private Schools","K 1-8"
"Concord","Merrimack","Bishop Brady High School","Trevor Bonat","Trevor","Bonat","Principal","25 Columbus Ave.","Concord","NH","03301-3117","603-224-7418","603-228-6664","tbonat@bishopbrady.edu","Private Schools","Parochial School","9-12"
"Concord","Merrimack","Capital Christian School","Katrina Schreiner","Katrina","Schreiner","Principal","310 Sheep Davis Rd.","Concord","NH","03302-4087","603-224-3641",,"Katrina.schreiner@gmail.com","Private Schools","Christian School","2-8"
"Concord","Merrimack","Concord Christian Academy","Alice Pinard","Alice","Pinard","Dean of Academics","37 Regional Drive","Concord","NH","03301-8506","603-228-8888","603-226-9696","apinard@concordchristian.org","Private Schools","Christian School","K 1-12"
"Concord","Merrimack","Parker Academy","Marby Blanchard","Marby","Blanchard","Special Ed.  Coordinator","2 Fiske Rd.","Concord ","NH","03301-9999","603-410-6240","603-410-6241","shelly@parkeracademy.com","Private Schools","In-State Spec Ed and Other Private","6-12"
"Concord","Merrimack","Shaker Road School","Douglas Hicks","Douglas","Hicks","Head of School","131 Shaker Rd.","Concord","NH","03301-6938","603-224-0161","603-226-0257","p_hicks@shakerroad.com","Private Schools","In-State Spec Ed and Other Private","P K 1-8"
"Concord","Merrimack","St. John Regional School","Stephen Donohue","Stephen","Donohue","Admin Principal","61 South State St.","Concord","NH","03301-3698","603-225-3222","603-225-0195","office@stjohnregional.org","Private Schools","Parochial School","P K 1-8"
"Concord","Merrimack","St. Paul's School","Candice Dale","Candice","Dale","Vice Rector for Faculty","325 Pleasant St.","Concord","NH","03301-2591","603-229-4800","603-229-4982","wmatthews@sps.edu","Private Schools","Prep School","9-12"
"Concord","Merrimack","Trinity Christian School","Peter Flint","Peter","Flint","Principal","80 Clinton St.","Concord","NH","03301-2287","603-225-5410","603-225-3235","tcsoffice@tbcnh.org","Private Schools","Christian School","P K 1-12"
