"Schools Name","Principals Name","Address","City","State","Zip","Phone"," Fax ","Principals Email","Grades"
"Legacy Christian Academy formally  Community Christian School","Connie Higgs  ","1206 Greenwood Lane","Alamogordo","NM","88310","434-0352","437-1320","chiggs@zianet.com",
"Father James B. Hay Catholic","Linda Pickett  ","1000 East Eighth Street","Alamogordo","NM","88310","437-7821","443-6129","jbhay@zianet.com",
"A Child's Garden School","Nancy Thomas","215 Locust, NE","Albuquerque","NM","87102","764-2920","764-2940","nthomas@firstpresabq.org","PK-K"
"AFR Childcare Academy","Alice Rigo","431 Alcazar, NE","Albuquerque","NM","87108","266-4130",,"afrcca@comcast.net","PK-12"
"Abundant Life Christian School","Nevin Nisly","2851 Arenal Road SW","Albuquerque","NM","87121","877-7772","877-7772","nm.alcs@juno.com","K-12"
"Academy Montessori Pre-School","Indu Kaushal","11216 Phoenix NE","Albuquerque","NM","87112","299-2527",,,"PK"
"Albuquerque Academy","Andrew T. Watson","6400 Wyoming Blvd. NE","Albuquerque","NM","87109","828-3200","828-3322","watson@aa.edu","6-12"
"Albuquerque Christian School","Shaun Adams","7201-B Montgomery NE","Albuquerque","NM","87109","872-0777","830-3889","acsadm@aaahawk.com","PK-8"
"Albuquerque Job Corps","Emily Salazar","1500 Indian School Rd NW","Albuquerque","NM","87104","346-2562",,,
"Annunciation School","Cindy Shields","2610 Utah NE","Albuquerque","NM","87110","299-6783","299-2182","annun@nedcomm.nm.org","PK-8"
"Bosque School","Andrew F. Wooden","4000 Learning Rd, NW","Albuquerque","NM","87120","898-6388","922-0392",,"6-12"
"Calvary Christian Academy","Christopher L. Chase","1404 Lead Ave SE","Albuquerque","NM","87106","842-8681","842-8746",,"PK-12"
"Christ Lutheran School","Mark Von Soosten","7701 Candelaria Rd. NE","Albuquerque","NM","87110","884-3876","888-6055","m_vonsoosten@yahoo.com","PK-8"
"Christian Heritage Academy","Michael Tarr","2800 Louisiana NE","Albuquerque","NM","87110","888-4156","888-1756","mtarr_bvbc@qwest.net","K-12"
