"School Name","Address","City","ST","Zip","County","School #","Contact Person","Phone","Grade Span","# of Students","# of Teachers","E-mail",
"Christian Outreach Academy","535 Oak Ridge Turnpike; PO Box 6139","Oak Ridge","TN","37830","Anderson","9022","Alan Kloefkorn","(865) 481-2519","K-12","72","1","coaor@comcast.net"
"Norris Academy - Camelot Schools","17 Ridgeway Road","Norris","TN","37828","Anderson","9025","Johanna Humphrey Ph.D.","(865) 494-5554","1-12","34","3","jhumphrey@camelotforkids.org"
"Montessori School of Oak Ridge","728 Emory Valley Road, Room #24","Oak Ridge","TN","37830","Anderson","9005","Nafis Ally","(865) 482-5036","Pre K","3","1","mrally@comcast.net"
"St. Mary's School","323 Vermont Avenue","Oak Ridge","TN","37830","Anderson","9010","Sr. Anne Catherine, O.P.","(865) 483-9700","PreK-8","208","21","secretary@stmarysoakridge.org; anne999@aol.com"
"Christian Chapel Academy","1218 B. West Jackson Street; PO Box 906","Shelbyville","TN","37162","Bedford","9020","Donna Warren","(931) 680-1893","K-12","5","1","donnaw931@yahoo.com"
"Victory Baptist Academy","2000 North Main","Shelbyville","TN","37160","Bedford","9090","Lyn Warren","(931) 684-8115","K5-12","95","11","lynwarren@charter.net"
"Sequatchie Valley International Preparatory Academy (SVIPA)","1050 Ray Hixson Road","Dunlap","TN","37327","Bledsoe","9010","Robert Young or Tammy Young","(423) 554-4677","1-12","26",,"info@svpacademy.com"
"Apostolic Christian Academy","1723 William Blount Drive","Maryville","TN","37801","Blount","9006","Cherie Johnson","865.984.0046","K-12","150","12","acaprincipal@hotmail.com"
"New Horizon Montessori School","913 E. Cumberland Drive","Louisville","TN","37777","Blount","9025","Aleta Ledendecker","(865) 970-4322","PK-6","22","2","aletaledendecker@earthlink.net"
"Lake Brook Academy Maryville, Blount Co.","1012 East Lamar Pkwy","Maryville","TN","37804","Blount","9050","Philip M. Dampf III, M.S.","865.681.0552","7-12","12","1","arhea@child-family.org"
"Gateway Center (Helen Ross McNabb)","3845 Holston College Road","Louisville","TN","37777","Blount","9020","Brandon Byrd","(865) 524-5757","7-12 NG","24","2","Brandon.byrd@mcnabb.org"
"The Village School (formerly Peninsula Village School)","PO Box 100, Jones Bend Road","Louisville","TN","37777","Blount","9015","David R. Humphrey","(865) 970-1804","7-12","83","8","dhumphrey@peninsulavillageschool.com"
"Cleveland Christian School","695 South Ocoee Street","Cleveland","TN","37311","Bradley","9022","Linda King","(423) 476-2642","K4-12","98","11","ccslking@aol.com   "
"Bachman Academy","414 Brymer Creek Road","McDonald","TN","37353","Bradley","9004","Paul A Jette","(423) 479-4523","6-12","48","10","info@bachmanacademy.org"
